HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	LSSGagMya 	LSSGagMza 	LSSGagMys 	LSSGagMzs 	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
8.200000	1014.065013	1079.907010	-1463.346238	-230.531079	
8.250000	1006.270999	956.286760	-1372.732403	-206.571515	
8.300000	995.061542	879.167751	-1310.188354	-215.614251	
8.350000	990.206020	843.903579	-1276.282167	-252.555803	
8.400000	1000.049189	840.156151	-1269.165282	-308.512976	
8.450000	1030.116532	853.659716	-1285.027543	-372.262804	
8.500000	1082.381937	867.362915	-1318.428378	-430.831268	
8.550000	1154.732862	865.467865	-1363.420279	-472.786745	
8.600000	1241.650086	834.264391	-1413.925366	-488.371389	
8.650000	1333.896403	763.591099	-1463.164908	-470.636998	
8.700000	1421.283580	648.389284	-1505.765104	-416.085127	
8.750000	1493.935233	489.200078	-1537.992789	-325.172855	
8.800000	1543.379858	291.107266	-1557.616394	-201.486272	
8.850000	1563.406781	63.812113	-1563.838246	-52.173043	
8.900000	1550.396841	-178.876574	-1556.648318	112.131479	
8.950000	1504.358167	-421.311148	-1537.104135	279.117283	
9.000000	1427.804933	-647.420650	-1505.933139	435.827157	
9.050000	1326.259392	-843.618786	-1464.383983	571.171930	
9.100000	1207.478874	-1000.032119	-1414.216791	676.801775	
9.150000	1080.503308	-1111.470047	-1357.787622	747.840988	
9.200000	954.209604	-1177.876877	-1297.780864	783.373419	
9.250000	836.817547	-1204.734730	-1238.021185	786.735645	
9.300000	734.554801	-1202.020193	-1183.011603	764.792081	
9.350000	651.282710	-1182.885877	-1138.025670	726.832681	
9.400000	587.310038	-1161.516793	-1107.752324	683.329542	
9.450000	540.090400	-1151.983055	-1096.709147	644.974392	
9.500000	504.301039	-1166.118203	-1108.231459	621.268141	
9.550000	473.125947	-1211.627718	-1144.082662	618.841435	
9.600000	438.882166	-1291.510042	-1203.893894	641.292036	
9.650000	394.213821	-1403.807034	-1285.094250	688.920675	
9.700000	332.947670	-1541.741202	-1382.717287	758.889575	
9.750000	250.705349	-1694.480975	-1489.490439	845.894003	
9.800000	145.806560	-1848.968495	-1597.064460	943.042129	
9.850000	18.434141	-1990.800732	-1695.686168	1043.204305	
9.900000	-128.415387	-2107.413029	-1777.142544	1139.931474	
9.950000	-289.797510	-2188.797231	-1834.908697	1227.976166	
10.000000	-459.287004	-2228.709797	-1865.139826	1303.589137	
10.050000	-629.568294	-2225.821679	-1867.726445	1364.637500	
10.100000	-793.360137	-2183.659360	-1846.240997	1410.383689	
10.150000	-944.454516	-2109.934900	-1807.357519	1441.276556	
10.200000	-1078.191735	-2015.384707	-1760.002158	1458.308890	
10.250000	-1192.443578	-1912.431669	-1714.199645	1463.159763	
10.300000	-1287.185079	-1813.756206	-1680.123980	1457.305672	
10.350000	-1365.249836	-1731.040999	-1667.053221	1442.686065	
10.400000	-1431.658253	-1672.978321	-1681.798642	1421.286171	
10.450000	-1492.874523	-1644.871146	-1728.572911	1395.102589	
10.500000	-1555.722223	-1647.853834	-1808.318507	1365.898269	
10.550000	-1626.849992	-1678.357127	-1918.189832	1335.691814	
10.600000	-1712.315649	-1728.054446	-2051.536372	1307.438875	
10.650000	-1815.839224	-1786.038348	-2199.749436	1283.864254	
10.700000	-1938.812991	-1839.450841	-2352.642918	1267.929437	
10.750000	-2080.495198	-1875.257430	-2500.018737	1262.915957	
10.800000	-2236.939628	-1881.905317	-2632.544057	1270.896628	
10.850000	-2402.148929	-1851.312605	-2743.439166	1292.756666	
10.900000	-2568.602317	-1779.274701	-2828.491817	1327.844401	
10.950000	-2728.082895	-1666.185796	-2886.486741	1373.610388	
11.000000	-2872.940553	-1517.029036	-2919.286485	1425.808723	
11.050000	-2997.064336	-1340.761657	-2931.445897	1478.735624	
11.100000	-3096.542155	-1148.900167	-2929.237154	1525.815424	
11.150000	-3170.815038	-954.367884	-2920.515961	1560.600809	
11.200000	-3221.628806	-769.089870	-2912.511167	1577.235580	
11.250000	-3253.659118	-603.593276	-2912.422026	1571.120713	
11.300000	-3272.638120	-464.742807	-2925.093370	1539.472170	
11.350000	-3285.164304	-355.204846	-2953.268188	1482.120879	
11.400000	-3297.707547	-273.477807	-2997.601262	1401.445947	
11.450000	-3315.881735	-214.101356	-3056.909934	1302.387210	
11.500000	-3343.634480	-168.118370	-3128.376456	1192.231209	
11.550000	-3382.905438	-124.998087	-3208.560488	1079.265950	
11.600000	-3433.247747	-73.827732	-3293.639761	971.893768	
11.650000	-3492.061246	-4.060770	-3379.796399	878.340618	
11.700000	-3554.502756	91.760996	-3463.544573	804.219727	
11.750000	-3614.537539	217.903630	-3541.989612	752.776328	
11.800000	-3665.449831	374.567886	-3612.683613	724.114458	
11.850000	-3700.720250	558.061382	-3673.545196	715.421388	
11.900000	-3714.798279	761.166374	-3722.748826	721.276669	
11.950000	-3704.333923	974.148178	-3759.208831	734.440041	
12.000000	-3668.032036	1186.093318	-3781.992869	746.863281	
12.050000	-3607.405756	1386.055566	-3790.962319	750.420905	
12.100000	-3525.762352	1564.316937	-3785.976353	737.880961	
12.150000	-3428.522251	1714.141518	-3767.901722	704.244762	
12.200000	-3322.154302	1831.732079	-3738.177105	646.516791	
12.250000	-3213.120855	1917.055403	-3698.724024	564.523417	
12.300000	-3107.377121	1973.987421	-3652.383485	460.992509	
12.350000	-3009.637874	2009.561989	-3602.776894	340.967161	
12.400000	-2922.734066	2032.914720	-3553.951495	211.058054	
12.450000	-2847.633063	2053.981119	-3510.229617	78.374705	
12.500000	-2783.310565	2082.359572	-3475.704347	-50.204506	
12.550000	-2727.099007	2126.068147	-3453.794047	-168.934351	
12.600000	-2674.646673	2189.784934	-3445.836772	-274.048594	
12.650000	-2620.766448	2275.164310	-3451.480200	-363.420214	
12.700000	-2560.143134	2380.518529	-3468.500745	-436.698431	
12.750000	-2487.861041	2501.174387	-3492.904171	-494.921240	
12.800000	-2399.969967	2629.648330	-3518.939625	-540.342320	
12.850000	-2294.326117	2757.650644	-3540.790106	-575.650557	
12.900000	-2170.278851	2875.901240	-3551.949706	-603.796961	
12.950000	-2029.163920	2976.191507	-3547.046664	-627.438826	
13.000000	-1874.086916	3051.628161	-3521.841346	-649.053396	
13.050000	-1709.326399	3097.917449	-3474.121949	-670.346766	
13.100000	-1540.017389	3113.527431	-3403.830345	-692.563461	
13.150000	-1371.572179	3099.876966	-3313.153878	-716.559133	
13.200000	-1209.056989	3061.259996	-3206.435762	-742.900843	
13.250000	-1056.618240	3004.186003	-3089.586210	-772.032005	
13.300000	-917.128375	2936.913662	-2969.757125	-804.444640	
13.350000	-791.557722	2867.852727	-2853.918135	-840.414223	
13.400000	-679.135888	2805.246688	-2748.813500	-880.147657	
13.450000	-577.048194	2755.088725	-2659.181527	-923.174676	
13.500000	-481.095050	2721.175364	-2588.110352	-968.469131	
13.550000	-386.327904	2703.987719	-2536.127704	-1014.324987	
13.600000	-287.668116	2701.081292	-2501.716668	-1058.303076	
13.650000	-180.799729	2707.301227	-2481.464508	-1097.497929	
13.700000	-62.493521	2715.493622	-2470.697670	-1128.478490	
13.750000	68.273011	2717.746946	-2464.154196	-1148.369706	
13.800000	210.548997	2705.435904	-2455.843639	-1154.359403	
13.850000	361.509926	2671.630061	-2440.937821	-1144.604008	
13.900000	516.718013	2611.310929	-2415.622688	-1118.351503	
13.950000	670.499366	2521.667546	-2377.077405	-1076.048685	
14.000000	816.970302	2403.175541	-2324.477849	-1019.556676	
14.050000	950.401898	2259.084823	-2258.369458	-952.100097	
14.100000	1066.103370	2095.325555	-2180.819797	-878.061292	
14.150000	1160.917822	1919.515551	-2094.843837	-802.433966	
14.200000	1233.575553	1740.145953	-2004.086455	-730.379713	
14.250000	1284.792452	1565.532311	-1912.371996	-666.646152	
14.300000	1317.141702	1402.685278	-1823.269261	-614.880336	
14.350000	1334.354214	1256.664634	-1739.612588	-577.456350	
14.400000	1341.255309	1129.846699	-1663.659960	-554.757380	
14.450000	1342.982976	1021.863950	-1597.011592	-545.309920	
14.500000	1344.248979	929.872023	-1540.604612	-546.080816	
14.550000	1348.795564	848.711833	-1494.751370	-552.521319	
14.600000	1358.898482	772.007138	-1459.317472	-559.456745	
14.650000	1374.882300	692.723843	-1433.525708	-561.402046	
14.700000	1395.339024	604.453892	-1416.335992	-553.469546	
14.750000	1417.233532	502.090447	-1406.368015	-531.765188	
14.800000	1436.457306	382.631290	-1402.082212	-493.944921	
14.850000	1448.485980	245.642989	-1401.871906	-439.553154	
14.900000	1448.936847	93.284296	-1403.995776	-370.021264	
14.950000	1434.107917	-70.019777	-1406.554112	-288.399215	
15.000000	1401.366041	-237.884510	-1407.392195	-199.156917	
15.050000	1349.826949	-403.356962	-1404.724628	-107.136344	
15.100000	1280.040514	-560.075165	-1397.108190	-16.615083	
15.150000	1193.730069	-701.484967	-1382.920499	67.854021	
15.200000	1094.124641	-823.304651	-1361.766573	143.290513	
15.250000	985.310422	-923.080854	-1334.074062	207.751174	
15.300000	871.545278	-1001.179712	-1301.438504	261.169264	
15.350000	757.290499	-1059.581592	-1266.411645	303.980715	
15.400000	646.386327	-1102.367073	-1232.462099	337.735986	
