HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	NacYaw    	YawRate   	YawAccel  	
(s)	(deg)     	(deg/s)   	(deg/s^2) 	
14.100000	-0.006624	0.005744	-0.014091	
14.150000	-0.006352	0.005050	-0.013861	
14.200000	-0.006114	0.004387	-0.013262	
14.250000	-0.005909	0.003740	-0.012957	
14.300000	-0.005738	0.003074	-0.013309	
14.350000	-0.005600	0.002417	-0.013143	
14.400000	-0.005495	0.001798	-0.012374	
14.450000	-0.005420	0.001252	-0.010927	
14.500000	-0.005370	0.000865	-0.007737	
14.550000	-0.005332	0.000752	-0.002267	
14.600000	-0.005292	0.000981	0.004581	
14.650000	-0.005232	0.001589	0.012175	
14.700000	-0.005131	0.002603	0.020266	
14.750000	-0.004969	0.003963	0.027199	
14.800000	-0.004733	0.005556	0.031868	
14.850000	-0.004413	0.007245	0.033773	
14.900000	-0.004010	0.008876	0.032632	
14.950000	-0.003528	0.010296	0.028388	
15.000000	-0.002984	0.011366	0.021414	
15.050000	-0.002396	0.011997	0.012606	
15.100000	-0.001789	0.012135	0.002761	
15.150000	-0.001188	0.011727	-0.008146	
15.200000	-0.000622	0.010781	-0.018936	
15.250000	-0.000114	0.009403	-0.027560	
15.300000	0.000315	0.007676	-0.034530	
15.350000	0.000651	0.005738	-0.038770	
15.400000	0.000889	0.003768	-0.039386	
15.450000	0.001030	0.001946	-0.036449	
15.500000	0.001088	0.000477	-0.029374	
15.550000	0.001085	-0.000461	-0.018768	
15.600000	0.001051	-0.000719	-0.005162	
15.650000	0.001023	-0.000230	0.009793	
15.700000	0.001037	0.000957	0.023736	
15.750000	0.001124	0.002692	0.034693	
15.800000	0.001308	0.004741	0.040990	
15.850000	0.001597	0.006827	0.041712	
15.900000	0.001985	0.008669	0.036852	
15.950000	0.002454	0.010010	0.026813	
16.000000	0.002975	0.010660	0.012992	
16.050000	0.003509	0.010557	-0.002057	
16.100000	0.004020	0.009694	-0.017262	
16.150000	0.004470	0.008148	-0.030906	
16.200000	0.004830	0.006125	-0.040468	
16.250000	0.005083	0.003882	-0.044858	
16.300000	0.005223	0.001677	-0.044095	
16.350000	0.005258	-0.000265	-0.038839	
16.400000	0.005206	-0.001779	-0.030282	
16.450000	0.005090	-0.002766	-0.019756	
16.500000	0.004938	-0.003242	-0.009520	
16.550000	0.004773	-0.003283	-0.000803	
16.600000	0.004613	-0.003017	0.005321	
16.650000	0.004472	-0.002577	0.008791	
16.700000	0.004354	-0.002091	0.009718	
16.750000	0.004259	-0.001647	0.008887	
16.800000	0.004186	-0.001280	0.007345	
16.850000	0.004128	-0.001028	0.005022	
16.900000	0.004080	-0.000873	0.003117	
16.950000	0.004039	-0.000790	0.001641	
17.000000	0.004000	-0.000791	-0.000004	
17.050000	0.003960	-0.000843	-0.001044	
17.100000	0.003918	-0.000910	-0.001336	
17.150000	0.003872	-0.001028	-0.002366	
17.200000	0.003816	-0.001264	-0.004727	
17.250000	0.003746	-0.001626	-0.007239	
17.300000	0.003654	-0.002156	-0.010585	
17.350000	0.003531	-0.002872	-0.014334	
17.400000	0.003367	-0.003776	-0.018071	
17.450000	0.003153	-0.004803	-0.020544	
17.500000	0.002887	-0.005871	-0.021366	
17.550000	0.002567	-0.006915	-0.020873	
17.600000	0.002197	-0.007843	-0.018569	
17.650000	0.001785	-0.008552	-0.014168	
17.700000	0.001345	-0.008955	-0.008069	
17.750000	0.000893	-0.009017	-0.001237	
17.800000	0.000448	-0.008717	0.005994	
17.850000	0.000026	-0.008055	0.013250	
17.900000	-0.000353	-0.007050	0.020094	
17.950000	-0.000676	-0.005788	0.025249	
18.000000	-0.000930	-0.004360	0.028555	
18.050000	-0.001112	-0.002937	0.028454	
18.100000	-0.001227	-0.001835	0.022042	
18.150000	-0.001301	-0.001180	0.013107	
18.200000	-0.001344	-0.000629	0.011023	
18.250000	-0.001366	-0.000422	0.004136	
18.300000	-0.001396	-0.000937	-0.010293	
18.350000	-0.001465	-0.001878	-0.018823	
18.400000	-0.001580	-0.002763	-0.017703	
18.450000	-0.001737	-0.003603	-0.016797	
18.500000	-0.001940	-0.004559	-0.019127	
18.550000	-0.002192	-0.005490	-0.018619	
18.600000	-0.002482	-0.006047	-0.011139	
18.650000	-0.002787	-0.006075	-0.000556	
18.700000	-0.003082	-0.005666	0.008178	
18.750000	-0.003349	-0.004930	0.014724	
18.800000	-0.003571	-0.003884	0.020910	
18.850000	-0.003734	-0.002533	0.027021	
18.900000	-0.003823	-0.000995	0.030764	
18.950000	-0.003836	0.000481	0.029526	
19.000000	-0.003781	0.001703	0.024436	
19.050000	-0.003673	0.002598	0.017886	
19.100000	-0.003527	0.003175	0.011542	
19.150000	-0.003360	0.003419	0.004896	
19.200000	-0.003189	0.003399	-0.000415	
19.250000	-0.003022	0.003236	-0.003261	
19.300000	-0.002868	0.002846	-0.007803	
19.350000	-0.002738	0.002335	-0.010204	
19.400000	-0.002630	0.001999	-0.006727	
19.450000	-0.002533	0.001834	-0.003307	
19.500000	-0.002447	0.001601	-0.004650	
19.550000	-0.002374	0.001313	-0.005757	
19.600000	-0.002313	0.001117	-0.003928	
19.650000	-0.002261	0.000991	-0.002517	
19.700000	-0.002216	0.000793	-0.003954	
19.750000	-0.002185	0.000475	-0.006359	
19.800000	-0.002171	0.000142	-0.006668	
19.850000	-0.002171	-0.000100	-0.004839	
19.900000	-0.002181	-0.000209	-0.002172	
19.950000	-0.002192	-0.000201	0.000145	
20.000000	-0.002201	-0.000055	0.002935	
20.050000	-0.002204	-0.000090	-0.000702	
20.100000	-0.002198	0.000426	0.010315	
20.150000	-0.002152	0.001443	0.020340	
20.200000	-0.002058	0.002343	0.017992	
20.250000	-0.001926	0.003000	0.013154	
20.300000	-0.001762	0.003576	0.011517	
20.350000	-0.001572	0.004022	0.008906	
20.400000	-0.001367	0.004186	0.003279	
20.450000	-0.001163	0.003962	-0.004472	
20.500000	-0.000980	0.003307	-0.013102	
20.550000	-0.000839	0.002336	-0.019425	
20.600000	-0.000750	0.001244	-0.021836	
20.650000	-0.000717	0.000145	-0.021981	
20.700000	-0.000738	-0.000930	-0.021496	
20.750000	-0.000810	-0.001872	-0.018834	
20.800000	-0.000923	-0.002497	-0.012507	
20.850000	-0.001056	-0.002693	-0.003908	
20.900000	-0.001189	-0.002492	0.004003	
20.950000	-0.001303	-0.001976	0.010337	
21.000000	-0.001386	-0.001209	0.015340	
21.050000	-0.001425	-0.000283	0.018512	
21.100000	-0.001417	0.000656	0.018775	
21.150000	-0.001366	0.001430	0.015479	
21.200000	-0.001282	0.001950	0.010413	
21.250000	-0.001178	0.002193	0.004850	
21.300000	-0.001069	0.002129	-0.001279	
21.350000	-0.000971	0.001811	-0.006363	
21.400000	-0.000892	0.001331	-0.009600	
21.450000	-0.000840	0.000739	-0.011826	
21.500000	-0.000819	0.000140	-0.011987	
21.550000	-0.000825	-0.000371	-0.010219	
21.600000	-0.000853	-0.000739	-0.007358	
21.650000	-0.000896	-0.000952	-0.004259	
21.700000	-0.000947	-0.001038	-0.001734	
21.750000	-0.000998	-0.000972	0.001319	
21.800000	-0.001044	-0.000821	0.003024	
21.850000	-0.001083	-0.000697	0.002479	
21.900000	-0.001117	-0.000650	0.000938	
21.950000	-0.001151	-0.000675	-0.000499	
22.000000	-0.001188	-0.000755	-0.001595	
22.050000	-0.001230	-0.000879	-0.002471	
22.100000	-0.001279	-0.001002	-0.002459	
22.150000	-0.001332	-0.001073	-0.001422	
22.200000	-0.001387	-0.001040	0.000645	
22.250000	-0.001436	-0.000872	0.003363	
22.300000	-0.001473	-0.000557	0.006312	
22.350000	-0.001491	-0.000118	0.008782	
22.400000	-0.001485	0.000377	0.009889	
22.450000	-0.001454	0.000872	0.009896	
22.500000	-0.001400	0.001322	0.009007	
22.550000	-0.001325	0.001632	0.006208	
22.600000	-0.001242	0.001700	0.001361	
22.650000	-0.001161	0.001502	-0.003962	
22.700000	-0.001097	0.001042	-0.009210	
22.750000	-0.001062	0.000355	-0.013739	
22.800000	-0.001065	-0.000482	-0.016745	
22.850000	-0.001112	-0.001365	-0.017654	
22.900000	-0.001202	-0.002183	-0.016365	
22.950000	-0.001330	-0.002833	-0.012983	
23.000000	-0.001484	-0.003232	-0.007993	
23.050000	-0.001650	-0.003326	-0.001883	
23.100000	-0.001813	-0.003105	0.004424	
23.150000	-0.001959	-0.002608	0.009937	
23.200000	-0.002074	-0.001902	0.014119	
23.250000	-0.002150	-0.001080	0.016446	
23.300000	-0.002184	-0.000236	0.016883	
23.350000	-0.002177	0.000527	0.015254	
23.400000	-0.002137	0.001118	0.011833	
23.450000	-0.002071	0.001485	0.007330	
23.500000	-0.001994	0.001613	0.002564	
23.550000	-0.001915	0.001514	-0.001988	
23.600000	-0.001847	0.001226	-0.005749	
23.650000	-0.001795	0.000819	-0.008150	
23.700000	-0.001766	0.000370	-0.008980	
23.750000	-0.001758	-0.000042	-0.008245	
23.800000	-0.001769	-0.000370	-0.006548	
23.850000	-0.001794	-0.000579	-0.004190	
23.900000	-0.001826	-0.000656	-0.001533	
23.950000	-0.001858	-0.000611	0.000901	
24.000000	-0.001887	-0.000487	0.002483	
24.050000	-0.001908	-0.000329	0.003150	
24.100000	-0.001922	-0.000181	0.002975	
24.150000	-0.001929	-0.000075	0.002111	
24.200000	-0.001932	-0.000029	0.000927	
24.250000	-0.001935	-0.000041	-0.000242	
24.300000	-0.001939	-0.000085	-0.000889	
24.350000	-0.001945	-0.000128	-0.000845	
24.400000	-0.001953	-0.000136	-0.000167	
24.450000	-0.001959	-0.000076	0.001188	
24.500000	-0.001960	0.000074	0.003011	
24.550000	-0.001951	0.000307	0.004661	
24.600000	-0.001928	0.000594	0.005743	
24.650000	-0.001891	0.000900	0.006119	
24.700000	-0.001839	0.001175	0.005503	
24.750000	-0.001775	0.001361	0.003719	
24.800000	-0.001705	0.001397	0.000723	
24.850000	-0.001638	0.001251	-0.002940	
24.900000	-0.001583	0.000920	-0.006615	
24.950000	-0.001549	0.000424	-0.009920	
25.000000	-0.001543	-0.000192	-0.012316	
25.050000	-0.001569	-0.000853	-0.013223	
25.100000	-0.001628	-0.001477	-0.012473	
25.150000	-0.001716	-0.001984	-0.010137	
25.200000	-0.001825	-0.002309	-0.006499	
25.250000	-0.001945	-0.002409	-0.002015	
25.300000	-0.002063	-0.002273	0.002724	
25.350000	-0.002170	-0.001917	0.007113	
25.400000	-0.002254	-0.001395	0.010445	
25.450000	-0.002309	-0.000777	0.012367	
25.500000	-0.002333	-0.000149	0.012548	
25.550000	-0.002327	0.000403	0.011042	
25.600000	-0.002296	0.000810	0.008151	
25.650000	-0.002250	0.001027	0.004342	
25.700000	-0.002198	0.001031	0.000077	
25.750000	-0.002151	0.000830	-0.004015	
25.800000	-0.002118	0.000466	-0.007296	
25.850000	-0.002106	0.000001	-0.009299	
25.900000	-0.002118	-0.000500	-0.010016	
25.950000	-0.002155	-0.000968	-0.009350	
26.000000	-0.002214	-0.001349	-0.007631	
26.050000	-0.002288	-0.001602	-0.005047	
26.100000	-0.002372	-0.001706	-0.002093	
26.150000	-0.002457	-0.001672	0.000689	
26.200000	-0.002538	-0.001523	0.002984	
26.250000	-0.002609	-0.001292	0.004609	
26.300000	-0.002668	-0.001024	0.005357	
26.350000	-0.002713	-0.000756	0.005368	
26.400000	-0.002745	-0.000515	0.004813	
26.450000	-0.002767	-0.000321	0.003882	
26.500000	-0.002779	-0.000166	0.003095	
26.550000	-0.002785	-0.000033	0.002666	
26.600000	-0.002784	0.000099	0.002631	
26.650000	-0.002775	0.000254	0.003108	
26.700000	-0.002758	0.000452	0.003959	
26.750000	-0.002729	0.000691	0.004774	
26.800000	-0.002688	0.000966	0.005517	
26.850000	-0.002632	0.001255	0.005767	
26.900000	-0.002562	0.001518	0.005270	
26.950000	-0.002481	0.001720	0.004037	
