HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	RotThrust 	LSShftFya 	LSShftFza 	LSShftFys 	LSShftFzs 	LSShftTq  	RotPwr    	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kW)      	
6.800000	401.594910	-926.158630	-493.283417	-0.136740	-1049.332153	2214.072021	2217.795658	
6.850000	405.398773	-949.474060	-430.420685	-14.427887	-1042.379272	1954.983154	1956.901640	
6.900000	408.232849	-971.039001	-367.388855	-28.793753	-1037.816162	1755.926880	1755.301737	
6.950000	410.163910	-990.710510	-306.381439	-41.023895	-1036.192139	1671.178955	1667.987948	
7.000000	411.453522	-1008.071472	-249.041367	-49.229954	-1037.210693	1721.464355	1715.899245	
7.050000	412.444153	-1022.599304	-196.429672	-52.076168	-1039.991333	1888.583252	1881.077983	
7.100000	413.421967	-1033.905884	-148.984589	-48.969151	-1043.436523	2121.445557	2113.069893	
7.150000	414.577271	-1041.805298	-106.386429	-40.230480	-1046.450073	2350.826660	2343.372967	
7.200000	415.996124	-1046.156250	-67.618484	-27.015476	-1047.991089	2512.814697	2508.146047	
7.250000	417.704803	-1046.835815	-31.143724	-11.134730	-1047.239746	2563.962158	2562.994018	
7.300000	419.615997	-1043.862183	4.668459	5.394543	-1043.858765	2495.033691	2497.169247	
7.350000	421.533539	-1037.651733	41.356026	20.630911	-1038.270508	2328.916016	2332.447449	
7.400000	423.189056	-1028.999023	80.211830	33.007439	-1031.592651	2115.360107	2118.476179	
7.450000	424.359314	-1018.817505	122.279480	41.433441	-1025.292480	1916.610596	1918.179553	
7.500000	424.955933	-1007.822205	168.306061	45.334553	-1020.772949	1789.737427	1789.410036	
7.550000	425.069214	-996.415222	218.634125	44.690266	-1019.140320	1769.733643	1767.629757	
7.600000	424.945831	-984.747009	273.104950	40.055248	-1021.131042	1860.351440	1856.872405	
7.650000	424.871918	-972.835632	331.085266	32.476540	-1027.118164	2031.598877	2027.545298	
7.700000	425.083740	-960.424316	391.505219	23.313410	-1036.893433	2232.584961	2229.256553	
7.750000	425.727783	-946.849976	452.966858	13.948287	-1049.528076	2403.687500	2402.566405	
7.800000	426.827850	-931.029297	513.693298	5.664562	-1063.327026	2496.648438	2498.684184	
7.850000	428.248962	-911.762390	571.686340	-0.497363	-1076.167114	2486.991943	2492.000254	
7.900000	429.663330	-888.118958	625.012207	-3.835164	-1085.993042	2379.643066	2386.342348	
7.950000	430.665039	-859.635681	672.135559	-4.083539	-1091.202515	2207.001465	2213.697498	
8.000000	430.922638	-826.265991	712.167053	-1.493139	-1090.823242	2020.309570	2025.695949	
8.050000	430.313751	-788.278137	744.988831	3.190787	-1084.610718	1872.764160	1876.290185	
8.100000	428.988068	-746.179382	771.187927	8.914087	-1073.049316	1808.140747	1809.897888	
8.150000	427.282623	-700.798218	792.125549	14.509065	-1057.530396	1843.603271	1844.063040	
8.200000	425.652557	-653.181458	809.760925	18.928343	-1040.192505	1967.838623	1967.803670	
8.250000	424.533264	-604.376343	826.388245	21.377985	-1023.587524	2143.716797	2144.410107	
8.300000	424.263519	-555.175659	844.177734	21.418524	-1010.147095	2321.041504	2323.985206	
8.350000	425.021759	-506.024109	864.787415	19.020369	-1001.776245	2451.030762	2457.518452	
8.400000	426.795044	-457.081268	889.144958	14.565938	-999.644897	2499.767578	2510.191759	
8.450000	429.392548	-408.338867	917.394287	8.788960	-1004.129395	2456.803223	2470.367671	
8.500000	432.490845	-359.698730	948.915894	2.642691	-1014.799255	2337.163818	2352.250639	
8.550000	435.754242	-310.946381	982.323242	-2.911395	-1030.358154	2177.807129	2192.765617	
8.600000	438.915894	-261.797974	1015.581299	-7.085510	-1048.757935	2025.701050	2039.505149	
8.650000	441.870270	-211.954239	1046.255859	-9.429482	-1067.467529	1925.366577	1937.841305	
8.700000	444.604431	-161.180649	1071.914551	-9.916370	-1083.919556	1905.047607	1916.723922	
8.750000	447.174316	-109.328476	1090.508301	-8.958200	-1095.938354	1969.664429	1981.559513	
8.800000	449.667358	-56.324913	1100.634766	-7.334271	-1102.050781	2099.520752	2112.992952	
8.850000	452.189606	-2.143665	1101.605713	-6.056256	-1101.591064	2257.541748	2274.118191	
8.900000	454.850342	53.170521	1093.479614	-6.163183	-1094.754272	2400.677979	2421.672372	
8.950000	457.692230	109.362968	1077.128174	-8.390229	-1082.633179	2489.824463	2515.766268	
9.000000	460.706696	165.983765	1054.142334	-12.994428	-1067.050903	2502.351318	2532.612719	
9.050000	463.788483	222.446655	1026.654419	-19.676971	-1050.292847	2437.393311	2470.328278	
9.100000	466.799408	278.115540	996.991333	-27.628792	-1034.686768	2315.929199	2349.528169	
9.150000	469.624298	332.414276	967.312073	-35.711113	-1022.211670	2174.638184	2207.341459	
9.200000	472.219025	384.882660	939.349670	-42.652149	-1014.244995	2055.139648	2086.369235	
9.250000	474.618683	435.203674	914.281189	-47.239002	-1011.474548	1992.012695	2022.240271	
9.300000	476.924042	483.231049	892.642029	-48.519421	-1013.887512	2002.667847	2033.141859	
9.350000	479.285492	528.984619	874.248901	-45.981998	-1020.794556	2083.108398	2115.498784	
9.400000	481.885132	572.605042	858.173950	-39.684574	-1030.904541	2209.863281	2245.924277	
9.450000	484.867889	614.276978	842.865601	-30.268057	-1042.517456	2347.268799	2388.459429	
9.500000	488.293091	654.163269	826.428345	-18.852688	-1053.830078	2457.802490	2504.831951	
9.550000	492.074707	692.389038	806.964172	-6.855859	-1063.271729	2512.406250	2564.857165	
9.600000	496.009613	729.036133	782.856750	4.229280	-1069.738525	2498.546875	2554.869118	
9.650000	499.822906	764.154297	752.938538	13.024068	-1072.696899	2423.252686	2481.251120	
9.700000	503.246613	797.744507	716.623047	18.486923	-1072.195557	2310.846191	2368.485614	
9.750000	506.089355	829.787659	673.965149	20.061434	-1068.818970	2195.519775	2251.651441	
9.800000	508.259949	860.276428	625.672302	17.784845	-1063.590576	2110.929199	2165.611590	
9.850000	509.819855	889.248108	572.972412	12.263810	-1057.784912	2080.838623	2135.209367	
