HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	
(s)	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	
12.000000	496.897125	-65.142258	-5928.498047	7686.309570	37587.937500	-429.378845	
12.050000	500.227386	-65.118935	-5917.795898	7586.002930	37899.605469	-450.085175	
12.100000	502.752441	-63.369476	-5905.906250	7384.730469	38168.226562	-462.515015	
12.150000	504.708771	-59.390511	-5894.526855	7065.323242	38402.761719	-458.149384	
12.200000	506.313385	-53.072845	-5885.193359	6625.336426	38612.449219	-429.773438	
12.250000	507.758209	-44.756714	-5879.056641	6079.829590	38806.523438	-372.838989	
12.300000	509.217804	-35.158794	-5876.717773	5457.976074	38992.910156	-286.343140	
12.350000	510.831482	-25.212095	-5878.165039	4797.421387	39177.425781	-172.794403	
12.400000	512.670349	-15.828464	-5882.804688	4135.773438	39362.964844	-37.739803	
12.450000	514.713501	-7.660537	-5889.600098	3501.866455	39547.921875	111.205070	
12.500000	516.876709	-0.937996	-5897.279785	2909.517822	39727.851562	265.097443	
12.550000	519.050537	4.570621	-5904.565918	2355.550293	39896.183594	414.843445	
12.600000	521.125854	9.465161	-5910.388184	1822.849121	40046.386719	552.541504	
12.650000	522.983459	14.534250	-5914.052246	1286.413452	40171.300781	671.657532	
12.700000	524.493103	20.526928	-5915.316895	721.794373	40264.695312	767.530457	
12.750000	525.530334	27.942053	-5914.396484	113.039970	40321.765625	837.629456	
12.800000	526.005249	36.877384	-5911.870605	-541.104980	40341.144531	881.858032	
12.850000	525.880737	46.990532	-5908.560547	-1225.597534	40323.804688	902.104431	
12.900000	525.175354	57.565647	-5905.349121	-1910.708984	40274.343750	902.239136	
12.950000	523.933167	67.686455	-5903.006348	-2558.099121	40198.855469	887.703247	
13.000000	522.214600	76.438469	-5902.045410	-3127.619873	40104.828125	865.328918	
