HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
11.300000	0.166712	-0.028308	-0.000244	
11.350000	0.167752	-0.032301	-0.000244	
11.400000	0.169059	-0.036091	-0.000252	
11.450000	0.170629	-0.039621	-0.000259	
11.500000	0.172441	-0.042845	-0.000267	
11.550000	0.174466	-0.045735	-0.000275	
11.600000	0.176662	-0.048270	-0.000282	
11.650000	0.178980	-0.050434	-0.000290	
11.700000	0.181369	-0.052211	-0.000298	
11.750000	0.183778	-0.053583	-0.000305	
11.800000	0.186161	-0.054526	-0.000320	
11.850000	0.188478	-0.055015	-0.000328	
11.900000	0.190699	-0.055023	-0.000328	
11.950000	0.192806	-0.054531	-0.000336	
12.000000	0.194784	-0.053532	-0.000343	
12.050000	0.196631	-0.052039	-0.000351	
12.100000	0.198346	-0.050088	-0.000351	
12.150000	0.199931	-0.047734	-0.000359	
12.200000	0.201393	-0.045055	-0.000359	
12.250000	0.202734	-0.042136	-0.000359	
12.300000	0.203958	-0.039067	-0.000366	
12.350000	0.205068	-0.035925	-0.000366	
12.400000	0.206063	-0.032767	-0.000366	
12.450000	0.206944	-0.029627	-0.000366	
12.500000	0.207709	-0.026510	-0.000366	
12.550000	0.208357	-0.023401	-0.000374	
12.600000	0.208887	-0.020269	-0.000374	
12.650000	0.209300	-0.017087	-0.000374	
12.700000	0.209598	-0.013835	-0.000374	
12.750000	0.209785	-0.010519	-0.000374	
12.800000	0.209869	-0.007173	-0.000374	
12.850000	0.209859	-0.003864	-0.000366	
12.900000	0.209772	-0.000687	-0.000366	
12.950000	0.209624	0.002243	-0.000366	
13.000000	0.209438	0.004805	-0.000366	
13.050000	0.209239	0.006882	-0.000366	
13.100000	0.209053	0.008378	-0.000366	
13.150000	0.208907	0.009224	-0.000366	
13.200000	0.208831	0.009388	-0.000366	
13.250000	0.208849	0.008873	-0.000366	
13.300000	0.208989	0.007719	-0.000366	
13.350000	0.209275	0.005991	-0.000374	
13.400000	0.209728	0.003773	-0.000374	
13.450000	0.210368	0.001160	-0.000374	
13.500000	0.211213	-0.001758	-0.000381	
13.550000	0.212274	-0.004896	-0.000381	
13.600000	0.213559	-0.008187	-0.000389	
13.650000	0.215071	-0.011580	-0.000397	
13.700000	0.216804	-0.015042	-0.000404	
13.750000	0.218746	-0.018553	-0.000412	
13.800000	0.220878	-0.022106	-0.000420	
13.850000	0.223178	-0.025698	-0.000427	
13.900000	0.225616	-0.029327	-0.000443	
13.950000	0.228166	-0.032982	-0.000450	
14.000000	0.230800	-0.036641	-0.000465	
14.050000	0.233495	-0.040270	-0.000481	
14.100000	0.236230	-0.043819	-0.000496	
14.150000	0.238994	-0.047227	-0.000511	
14.200000	0.241779	-0.050428	-0.000519	
14.250000	0.244580	-0.053351	-0.000534	
14.300000	0.247395	-0.055934	-0.000549	
14.350000	0.250222	-0.058122	-0.000565	
14.400000	0.253055	-0.059879	-0.000580	
14.450000	0.255886	-0.061182	-0.000595	
14.500000	0.258700	-0.062025	-0.000610	
14.550000	0.261476	-0.062413	-0.000626	
14.600000	0.264189	-0.062358	-0.000633	
14.650000	0.266811	-0.061876	-0.000648	
14.700000	0.269311	-0.060977	-0.000656	
14.750000	0.271659	-0.059669	-0.000664	
14.800000	0.273829	-0.057954	-0.000671	
14.850000	0.275796	-0.055833	-0.000679	
14.900000	0.277545	-0.053307	-0.000687	
14.950000	0.279063	-0.050391	-0.000694	
15.000000	0.280347	-0.047110	-0.000694	
15.050000	0.281398	-0.043512	-0.000694	
15.100000	0.282225	-0.039663	-0.000702	
15.150000	0.282839	-0.035650	-0.000702	
15.200000	0.283259	-0.031570	-0.000702	
15.250000	0.283503	-0.027531	-0.000694	
15.300000	0.283592	-0.023633	-0.000694	
15.350000	0.283549	-0.019967	-0.000694	
15.400000	0.283394	-0.016604	-0.000694	
15.450000	0.283147	-0.013591	-0.000694	
15.500000	0.282824	-0.010950	-0.000687	
15.550000	0.282443	-0.008681	-0.000687	
15.600000	0.282015	-0.006768	-0.000687	
15.650000	0.281556	-0.005183	-0.000679	
15.700000	0.281077	-0.003899	-0.000679	
15.750000	0.280591	-0.002892	-0.000679	
15.800000	0.280112	-0.002150	-0.000671	
15.850000	0.279653	-0.001678	-0.000671	
15.900000	0.279226	-0.001491	-0.000671	
15.950000	0.278845	-0.001620	-0.000664	
16.000000	0.278519	-0.002104	-0.000664	
16.050000	0.278256	-0.002980	-0.000664	
16.100000	0.278066	-0.004284	-0.000664	
16.150000	0.277952	-0.006036	-0.000664	
16.200000	0.277920	-0.008242	-0.000664	
16.250000	0.277975	-0.010885	-0.000664	
16.300000	0.278121	-0.013929	-0.000664	
16.350000	0.278363	-0.017315	-0.000664	
16.400000	0.278708	-0.020971	-0.000671	
16.450000	0.279161	-0.024809	-0.000671	
16.500000	0.279729	-0.028740	-0.000679	
16.550000	0.280417	-0.032673	-0.000687	
16.600000	0.281228	-0.036526	-0.000687	
16.650000	0.282159	-0.040227	-0.000694	
16.700000	0.283206	-0.043720	-0.000702	
16.750000	0.284357	-0.046963	-0.000710	
16.800000	0.285595	-0.049924	-0.000717	
16.850000	0.286900	-0.052584	-0.000725	
16.900000	0.288249	-0.054926	-0.000740	
16.950000	0.289615	-0.056935	-0.000748	
17.000000	0.290975	-0.058595	-0.000755	
17.050000	0.292306	-0.059885	-0.000763	
17.100000	0.293588	-0.060783	-0.000771	
17.150000	0.294809	-0.061266	-0.000778	
17.200000	0.295958	-0.061314	-0.000778	
17.250000	0.297031	-0.060917	-0.000786	
17.300000	0.298026	-0.060074	-0.000786	
17.350000	0.298947	-0.058799	-0.000793	
17.400000	0.299797	-0.057122	-0.000793	
17.450000	0.300582	-0.055084	-0.000801	
17.500000	0.301307	-0.052735	-0.000801	
17.550000	0.301976	-0.050130	-0.000801	
17.600000	0.302591	-0.047321	-0.000801	
17.650000	0.303154	-0.044357	-0.000801	
17.700000	0.303664	-0.041275	-0.000801	
17.750000	0.304120	-0.038101	-0.000801	
17.800000	0.304519	-0.034856	-0.000801	
17.850000	0.304860	-0.031552	-0.000801	
17.900000	0.305144	-0.028201	-0.000801	
17.950000	0.305372	-0.024823	-0.000801	
18.000000	0.305549	-0.021443	-0.000801	
18.050000	0.305680	-0.018103	-0.000801	
18.100000	0.305775	-0.014857	-0.000801	
18.150000	0.305844	-0.011774	-0.000793	
18.200000	0.305900	-0.008932	-0.000793	
18.250000	0.305953	-0.006418	-0.000793	
18.300000	0.306019	-0.004315	-0.000793	
18.350000	0.306107	-0.002696	-0.000801	
18.400000	0.306230	-0.001621	-0.000801	
18.450000	0.306399	-0.001128	-0.000801	
18.500000	0.306623	-0.001229	-0.000801	
18.550000	0.306914	-0.001916	-0.000801	
