HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	HSShftTq  	HSSBrTq   	HSShftPwr 	HSSGenPwr 	
(s)	(kN-m)    	(kN-m)    	(kW)      	(kW)      	
7.600000	19.178881	0.000000	1849.678592	2117.861538	
7.650000	20.944318	0.000000	2017.915399	2113.487075	
7.700000	23.016340	0.000000	2219.839682	2113.750983	
7.750000	24.780284	0.000000	2396.563496	2118.562504	
7.800000	25.738644	0.000000	2498.413941	2126.549272	
7.850000	25.639092	0.000000	2497.604178	2135.484018	
7.900000	24.532403	0.000000	2395.669317	2142.923647	
7.950000	22.752592	0.000000	2223.469901	2146.899524	
8.000000	20.827934	0.000000	2033.063235	2146.476084	
8.050000	19.306847	0.000000	1879.686500	2142.019070	
8.100000	18.640626	0.000000	1808.943014	2135.084176	
8.150000	19.006219	0.000000	1839.106133	2127.945267	
8.200000	20.286996	0.000000	1959.835768	2122.910132	
8.250000	22.100173	0.000000	2135.303037	2121.654784	
8.300000	23.928263	0.000000	2316.387583	2124.776573	
8.350000	25.268358	0.000000	2453.998783	2131.678083	
8.400000	25.770800	0.000000	2512.019366	2140.771507	
8.450000	25.327868	0.000000	2476.802986	2149.942083	
8.500000	24.094472	0.000000	2360.907938	2157.133911	
8.550000	22.451620	0.000000	2200.799917	2160.930940	
8.600000	20.883516	0.000000	2044.768016	2160.951629	
8.650000	19.849140	0.000000	1939.318276	2157.951742	
8.700000	19.639666	0.000000	1914.320075	2153.580555	
8.750000	20.305819	0.000000	1975.832685	2149.884854	
8.800000	21.644544	0.000000	2105.187145	2148.712005	
8.850000	23.273626	0.000000	2266.237283	2151.192039	
8.900000	24.749258	0.000000	2416.109258	2157.450194	
8.950000	25.668293	0.000000	2514.414001	2166.601839	
9.000000	25.797436	0.000000	2535.925082	2177.012932	
9.050000	25.127766	0.000000	2477.039922	2186.766093	
9.100000	23.875559	0.000000	2357.281607	2194.200154	
9.150000	22.418950	0.000000	2213.763798	2198.378054	
9.200000	21.187007	0.000000	2089.874332	2199.344090	
9.250000	20.536213	0.000000	2022.207500	2198.097476	
9.300000	20.646060	0.000000	2029.718615	2196.275642	
9.350000	21.475344	0.000000	2109.463968	2195.669171	
9.400000	22.782096	0.000000	2238.710076	2197.705729	
9.450000	24.198647	0.000000	2382.036807	2203.066267	
9.500000	25.338170	0.000000	2501.180966	2211.520394	
9.550000	25.901095	0.000000	2565.158165	2222.015789	
9.600000	25.758215	0.000000	2558.916006	2232.990208	
9.650000	24.981986	0.000000	2487.531535	2242.814626	
9.700000	23.823157	0.000000	2374.897004	2250.254984	
9.750000	22.634224	0.000000	2256.357281	2254.812044	
9.800000	21.762157	0.000000	2167.536402	2256.841370	
9.850000	21.451945	0.000000	2134.079475	2257.418712	
9.900000	21.774371	0.000000	2164.153909	2258.000640	
9.950000	22.619012	0.000000	2247.762467	2259.988158	
10.000000	23.730479	0.000000	2360.279518	2264.327960	
10.050000	24.786533	0.000000	2469.871591	2271.256223	
10.100000	25.490758	0.000000	2546.344425	2280.254754	
10.150000	25.655913	0.000000	2569.497345	2290.213848	
10.200000	25.255585	0.000000	2534.912337	2299.767507	
10.250000	24.429312	0.000000	2455.314058	2307.692918	
