HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	BlPitchC  B_0	BlPitchC  B_2	GenTq     	GenPwr    	
(s)	(deg)     	(deg)     	(kN-m)    	(kW)      	
17.200000	0.000000	0.000000	31.611247	3586.987609	
17.250000	0.000000	0.000000	31.698383	3601.867412	
17.300000	0.000000	0.000000	31.785570	3616.641304	
17.350000	0.000000	0.000000	31.872302	3631.301658	
17.400000	0.000000	0.000000	31.958360	3645.889036	
17.450000	0.000000	0.000000	32.043834	3660.475496	
17.500000	0.000000	0.000000	32.129081	3675.138916	
17.550000	0.000000	0.000000	32.214588	3689.934127	
17.600000	0.000000	0.000000	32.300797	3704.873997	
17.650000	0.000000	0.000000	32.387963	3719.925003	
17.700000	0.000000	0.000000	32.476075	3735.018039	
17.750000	0.000000	0.000000	32.564834	3750.063732	
17.800000	0.000000	0.000000	32.653717	3764.977651	
17.850000	0.000000	0.000000	32.742152	3779.703777	
17.900000	0.000000	0.000000	32.829643	3794.227304	
17.950000	0.000000	0.000000	32.915916	3808.576375	
18.000000	0.000000	0.000000	33.000983	3822.813512	
18.050000	0.000000	0.000000	33.144390	3843.879917	
18.100000	0.000000	0.000000	33.653437	3907.318830	
18.150000	0.000000	0.000000	34.209923	3975.810459	
18.200000	0.000000	0.000000	34.759544	4042.989440	
18.250000	0.000000	0.000000	35.294169	4108.359651	
18.300000	0.000000	0.000000	35.814809	4172.423970	
18.350000	0.000000	0.000000	36.324842	4235.487266	
18.400000	0.000000	0.000000	36.828202	4297.681634	
18.450000	0.000000	0.000000	37.327743	4359.197514	
18.500000	0.000000	0.000000	37.823695	4420.128995	
18.550000	0.000000	0.000000	38.313033	4480.135999	
18.600000	0.000000	0.000000	38.790674	4538.506530	
18.650000	0.000000	0.000000	39.251077	4594.539735	
18.700000	0.000000	0.000000	39.690064	4647.879913	
18.750000	0.000000	0.000000	40.105886	4698.507609	
18.800000	0.000000	0.000000	40.499803	4746.652067	
18.850000	0.000000	0.000000	40.875851	4792.802708	
18.900000	0.000000	0.000000	41.239325	4837.637008	
18.950000	0.000000	0.000000	41.595228	4881.786588	
19.000000	0.000000	0.000000	41.946962	4925.542883	
19.050000	0.000000	0.000000	42.295573	4968.786759	
19.100000	0.000000	0.000000	42.639801	5011.200861	
19.150000	0.000000	0.000000	42.962854	5050.843620	
19.200000	0.000000	0.000000	43.071762	5065.242385	
19.250000	0.000000	0.000000	43.089913	5069.277256	
19.300000	0.000000	0.000000	43.092938	5071.931598	
19.350000	0.000000	0.000000	43.093442	5074.404323	
19.400000	0.000000	0.000000	43.093526	5076.709319	
19.450000	0.000000	0.000000	43.093540	5078.973207	
19.500000	0.000000	0.000000	43.093543	5081.394973	
19.550000	0.000000	0.000000	43.093543	5083.975647	
19.600000	0.000000	0.000000	43.093543	5086.567140	
19.650000	0.000000	0.000000	43.093543	5089.127295	
19.700000	0.000000	0.000000	43.093543	5091.778792	
19.750000	0.000000	0.000000	43.093543	5094.616381	
19.800000	0.000000	0.000000	43.093543	5097.576946	
19.850000	0.000000	0.000000	43.093543	5100.541396	
19.900000	0.000000	0.000000	43.093543	5103.485244	
19.950000	0.000000	0.000000	43.093543	5106.454644	
20.000000	0.001882	0.001882	43.093543	5109.440146	
20.050000	0.022580	0.022580	43.093543	5112.634060	
20.100000	0.047408	0.047408	43.093543	5115.785504	
20.150000	0.072888	0.072888	43.093543	5118.600052	
20.200000	0.098460	0.098460	43.093543	5121.206560	
20.250000	0.123998	0.123998	43.093543	5123.890360	
20.300000	0.149406	0.149406	43.093543	5126.684581	
20.350000	0.174610	0.174610	43.093543	5129.388323	
20.400000	0.199576	0.199576	43.093543	5131.870795	
20.450000	0.224289	0.224289	43.093543	5134.185712	
20.500000	0.248732	0.248732	43.093543	5136.409974	
20.550000	0.272855	0.272855	43.093543	5138.522962	
20.600000	0.296585	0.296585	43.093543	5140.477401	
20.650000	0.319847	0.319847	43.093543	5142.287745	
20.700000	0.342558	0.342558	43.093543	5143.985514	
20.750000	0.364663	0.364663	43.093543	5145.551077	
20.800000	0.386131	0.386131	43.093543	5146.960144	
