Time	 FAIRTEN1	 FAIRTEN2	 ANCHTEN1	 CON2PX	 CON2PY	 CON2FZ	 
(s)	 (N)     	 (N)     	 (N)     	 (m)     	 (m)     	 (N)     	 
2.31667	 909335	 901745	 735594	 -426.94	 739.47	 -15776.5	 
2.35	 911874	 900091	 736129	 -426.94	 739.47	 -15776.5	 
2.33333	 908699	 907044	 736311	 -426.94	 739.47	 -15776.5	 
2.36667	 910174	 900947	 736680	 -426.94	 739.47	 -15776.5	 
2.4	 912480	 899445	 737236	 -426.94	 739.47	 -15776.5	 
2.38333	 909711	 906332	 737420	 -426.94	 739.47	 -15776.5	 
2.41667	 910870	 900265	 737784	 -426.94	 739.47	 -15776.5	 
2.45	 912897	 898947	 738314	 -426.94	 739.47	 -15776.4	 
2.43333	 910700	 905713	 738485	 -426.94	 739.47	 -15776.4	 
2.46667	 911367	 899743	 738815	 -426.94	 739.47	 -15776.4	 
2.5	 913116	 898621	 739277	 -426.94	 739.47	 -15776.4	 
2.48333	 911682	 905197	 739419	 -426.94	 739.47	 -15776.4	 
2.51667	 911671	 899397	 739686	 -426.94	 739.47	 -15776.4	 
2.55	 913119	 898476	 740036	 -426.94	 739.47	 -15776.4	 
2.53333	 912642	 904790	 740138	 -426.94	 739.47	 -15776.4	 
2.56667	 911770	 899224	 740319	 -426.94	 739.47	 -15776.4	 
2.6	 912872	 898507	 740530	 -426.94	 739.47	 -15776.4	 
2.58333	 913509	 904487	 740584	 -426.94	 739.47	 -15776.4	 
2.61667	 911594	 899217	 740666	 -426.94	 739.47	 -15776.4	 
2.65	 912296	 898742	 740731	 -426.94	 739.47	 -15776.4	 
2.63333	 914258	 904324	 740737	 -426.94	 739.47	 -15776.4	 
2.66667	 911088	 899432	 740727	 -426.94	 739.47	 -15776.4	 
2.7	 911347	 899221	 740659	 -426.94	 739.47	 -15776.4	 
2.68333	 914811	 904257	 740622	 -426.94	 739.47	 -15776.4	 
2.71667	 910247	 899863	 740527	 -426.94	 739.47	 -15776.4	 
