HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HydroL @CopyRight 赵子祯
Time	HydroFxi  	HydroFyi  	HydroFzi  	HydroMxi  	HydroMyi  	HydroMzi  	MoorFxi   	MoorFyi   	MoorFzi   	MoorMxi   	MoorMyi   	MoorMzi   	
(s)	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	
3.200000	-6.747176	1.387712	79105.057464	2261.208701	13630.004232	127.251772	-4.575951	1.335861	-1604.878643	35.564775	-15.199332	127.251772	
3.250000	-7.348805	1.619781	79105.096848	2393.782306	14214.747549	123.562181	-4.998377	1.560355	-1604.921245	47.629353	-0.502606	123.562181	
3.300000	-7.966940	1.833743	79105.179081	2532.660583	14822.004284	119.579260	-5.421294	1.764525	-1604.922682	58.172863	13.711496	119.579260	
3.350000	-8.568611	2.025354	79105.299967	2678.696276	15450.461328	115.328220	-5.822263	1.943365	-1604.889315	66.836089	25.946733	115.328220	
3.400000	-9.147145	2.185863	79105.468206	2832.443742	16099.425478	110.813181	-6.198838	2.088442	-1604.814368	73.033205	36.054761	110.813181	
3.450000	-9.717728	2.306125	79105.673158	2993.800119	16769.212952	106.026217	-6.562712	2.192155	-1604.709835	76.248392	44.821109	106.026217	
3.500000	-10.290053	2.377966	79105.909741	3161.617615	17460.253398	101.010784	-6.922299	2.248704	-1604.581436	76.112748	52.806029	101.010784	
3.550000	-10.863249	2.395790	79106.159792	3333.893102	18172.355454	95.831534	-7.276964	2.255004	-1604.447380	72.461587	59.966190	95.831534	
3.600000	-11.413500	2.353081	79106.437269	3507.695795	18903.911464	90.516909	-7.610388	2.207233	-1604.293185	65.103720	65.233398	90.516909	
3.650000	-11.918711	2.246467	79106.717754	3679.425453	19652.654971	85.095714	-7.905090	2.103539	-1604.142323	53.995949	67.466525	85.095714	
3.700000	-12.370235	2.084399	79106.992054	3846.000245	20416.813019	79.600760	-8.150196	1.951302	-1604.003026	39.710683	65.967565	79.600760	
3.750000	-12.777234	1.877609	79107.256861	4005.278857	21196.025227	73.996440	-8.347706	1.758787	-1603.877542	22.858549	60.881961	73.996440	
3.800000	-13.131999	1.634455	79107.509715	4155.869910	21989.754787	68.208013	-8.496320	1.532157	-1603.767423	3.889544	52.131187	68.208013	
3.850000	-13.409195	1.363010	79107.752931	4297.127137	22795.806584	62.156466	-8.590122	1.277668	-1603.669719	-16.757049	39.359239	62.156466	
3.900000	-13.603001	1.073951	79107.976247	4429.403007	23611.578184	55.738291	-8.632909	1.004608	-1603.594421	-38.461102	22.877480	55.738291	
3.950000	-13.735489	0.774653	79108.185607	4553.427744	24435.485796	48.877732	-8.638245	0.719675	-1603.535659	-60.786140	3.647150	48.877732	
4.000000	-13.843707	0.470724	79108.383713	4669.946757	25267.561899	41.570631	-8.623284	0.428440	-1603.491130	-83.372682	-17.162466	41.570631	
4.050000	-13.930636	0.167547	79108.574733	4779.663186	26107.581030	33.845844	-8.587219	0.136547	-1603.457234	-105.854297	-39.600384	33.845844	
4.100000	-13.976193	-0.125518	79108.752609	4883.301448	26954.231222	25.760594	-8.520278	-0.146342	-1603.440689	-127.593003	-64.306706	25.760594	
4.150000	-13.969506	-0.406226	79108.922166	4980.851892	27805.830817	17.354498	-8.418053	-0.417401	-1603.437134	-148.396723	-91.542971	17.354498	
4.200000	-13.928369	-0.673308	79109.085500	5071.670121	28662.027839	8.650356	-8.289760	-0.675044	-1603.444795	-168.142785	-120.672662	8.650356	
4.250000	-13.882834	-0.920381	79109.244262	5155.273244	29523.840180	-0.340223	-8.152849	-0.913438	-1603.462036	-186.423451	-150.531841	-0.340223	
4.300000	-13.850902	-1.130158	79109.392673	5232.548279	30392.744933	-9.623793	-8.022651	-1.116102	-1603.494422	-202.140819	-180.117341	-9.623793	
4.350000	-13.832133	-1.290017	79109.536819	5305.240288	31269.336989	-19.204764	-7.908693	-1.270739	-1603.535289	-214.500121	-208.798225	-19.204764	
4.400000	-13.811153	-1.392308	79109.664567	5375.525295	32152.406189	-29.060370	-7.808431	-1.369336	-1603.595993	-223.008678	-236.729787	-29.060370	
4.450000	-13.806719	-1.436025	79109.792755	5445.493741	33041.767725	-39.162483	-7.729898	-1.410399	-1603.659003	-227.611729	-263.351359	-39.162483	
4.500000	-13.854545	-1.421189	79109.910795	5517.228156	33938.941807	-49.482104	-7.686597	-1.393583	-1603.734461	-228.334177	-287.780352	-49.482104	
4.550000	-13.987456	-1.349769	79110.028018	5592.762610	34847.057647	-59.966835	-7.692965	-1.320799	-1603.813027	-225.350552	-309.100130	-59.966835	
4.600000	-14.194444	-1.223768	79110.145862	5674.130619	35768.056964	-70.539854	-7.746413	-1.194076	-1603.893773	-218.844232	-327.534592	-70.539854	
4.650000	-14.445789	-1.053111	79110.277404	5762.443145	36702.089078	-81.124770	-7.836842	-1.023344	-1603.964369	-209.512481	-343.772415	-81.124770	
4.700000	-14.744237	-0.847234	79110.419342	5857.663328	37649.729089	-91.662160	-7.967475	-0.817634	-1604.029044	-197.966041	-357.609046	-91.662160	
4.750000	-15.106733	-0.610979	79110.574729	5959.019035	38612.231396	-102.120753	-8.145973	-0.581429	-1604.085907	-184.489253	-368.548375	-102.120753	
4.800000	-15.563933	-0.339775	79110.751747	6066.301425	39592.271939	-112.506799	-8.386778	-0.310140	-1604.128269	-168.763817	-375.662103	-112.506799	
4.850000	-16.117865	-0.033595	79110.954748	6179.594998	40592.079159	-122.840974	-8.692643	-0.003948	-1604.153278	-150.802977	-378.813120	-122.840974	
4.900000	-16.734875	0.299849	79111.172423	6298.774782	41611.614794	-133.127651	-9.049301	0.329291	-1604.173043	-131.138253	-378.981073	-133.127651	
4.950000	-17.390921	0.653496	79111.408027	6423.898847	42649.935568	-143.368032	-9.442472	0.682254	-1604.184321	-110.268235	-377.113563	-143.368032	
5.000000	-18.075875	1.025233	79111.655875	6555.842625	43706.242991	-153.546433	-9.860793	1.052074	-1604.192126	-88.409074	-373.964844	-153.546433	
5.050000	-18.799859	1.408057	79111.914725	6695.908614	44780.912420	-163.624489	-10.303047	1.430792	-1604.196396	-66.131588	-369.621726	-163.624489	
5.100000	-19.569418	1.788667	79112.176673	6845.165881	45874.950168	-173.573861	-10.770765	1.804811	-1604.203333	-44.385129	-364.005052	-173.573861	
5.150000	-20.387698	2.150883	79112.438232	7003.838444	46989.467756	-183.384265	-11.266153	2.158320	-1604.214568	-24.249136	-356.990574	-183.384265	
5.200000	-21.238482	2.484854	79112.697253	7171.558507	48124.454573	-193.039514	-11.780755	2.482132	-1604.230351	-6.340129	-349.154476	-193.039514	
5.250000	-22.098920	2.783160	79112.958276	7347.472337	49279.004570	-202.513546	-12.299901	2.769328	-1604.244622	8.891366	-341.469643	-202.513546	
5.300000	-22.962616	3.036895	79113.222044	7530.194182	50452.510380	-211.773705	-12.813520	3.011875	-1604.255777	20.931174	-334.602496	-211.773705	
5.350000	-23.829981	3.234083	79113.489314	7717.499300	51644.971004	-220.772825	-13.315496	3.199151	-1604.262948	29.109916	-328.965287	-220.772825	
5.400000	-24.699676	3.368319	79113.772620	7906.741237	52856.813609	-229.416201	-13.802000	3.325545	-1604.254203	33.110497	-324.818030	-229.416201	
5.450000	-25.551065	3.436983	79114.070161	8095.474091	54087.522973	-237.635660	-14.262910	3.388618	-1604.232547	32.824109	-322.841376	-237.635660	
5.500000	-26.376478	3.434416	79114.392556	8281.358921	55336.802920	-245.366774	-14.695374	3.382046	-1604.188899	27.878293	-323.215751	-245.366774	
5.550000	-27.180202	3.363805	79114.740510	8462.982848	56604.564495	-252.523849	-15.099807	3.307934	-1604.124582	18.450547	-325.910259	-252.523849	
5.600000	-27.978302	3.230569	79115.121922	8639.876681	57891.564312	-259.059421	-15.480126	3.170983	-1604.033861	4.872985	-330.667670	-259.059421	
5.650000	-28.762643	3.040191	79115.540633	8811.926365	59197.984424	-264.967406	-15.830355	2.977120	-1603.914989	-12.449355	-337.896029	-264.967406	
5.700000	-29.501098	2.792544	79115.990736	8978.489091	60522.637442	-270.258999	-16.137070	2.727166	-1603.775436	-33.447238	-348.490068	-270.258999	
5.750000	-30.171655	2.494612	79116.468367	9139.031713	61864.031609	-274.969940	-16.391937	2.428978	-1603.619972	-57.576262	-362.988157	-274.969940	
5.800000	-30.746945	2.153418	79116.967333	9292.988813	63219.719105	-279.192938	-16.585245	2.090404	-1603.454886	-84.292942	-382.002666	-279.192938	
5.850000	-31.222874	1.777413	79117.475619	9439.584127	64587.578293	-283.048607	-16.716689	1.720696	-1603.291605	-112.953997	-405.515857	-283.048607	
5.900000	-31.619747	1.369243	79117.989056	9577.229448	65966.581061	-286.621955	-16.799179	1.322307	-1603.132826	-143.354374	-432.628005	-286.621955	
5.950000	-31.979072	0.939178	79118.507004	9704.576318	67357.270207	-289.969327	-16.853871	0.904453	-1602.977491	-174.833874	-461.908015	-289.969327	
6.000000	-32.318258	0.491766	79119.018458	9820.172958	68759.864847	-293.122121	-16.890699	0.469862	-1602.834599	-207.171834	-492.694146	-293.122121	
6.050000	-32.631332	0.040810	79119.522675	9923.428890	70173.845337	-296.061073	-16.907213	0.030591	-1602.702930	-239.533984	-525.140633	-296.061073	
6.100000	-32.891436	-0.404983	79120.021899	10014.246769	71597.499485	-298.748344	-16.892637	-0.405812	-1602.578526	-271.403689	-559.940406	-298.748344	
6.150000	-33.110995	-0.839110	79120.510842	10092.950753	73030.208670	-301.150496	-16.851612	-0.832971	-1602.465480	-302.354363	-596.764267	-301.150496	
6.200000	-33.318814	-1.252621	79120.986668	10160.268847	74472.738789	-303.242227	-16.796808	-1.241676	-1602.366115	-331.776086	-634.766651	-303.242227	
6.250000	-33.538663	-1.640873	79121.455009	10217.149170	75926.375447	-305.018448	-16.744413	-1.627195	-1602.275181	-359.367008	-672.869951	-305.018448	
6.300000	-33.780688	-1.988730	79121.929512	10265.464667	77392.288717	-306.468564	-16.707957	-1.974006	-1602.180155	-384.114339	-710.169738	-306.468564	
