HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	HSShftTq  	HSSBrTq   	HSShftPwr 	HSSGenPwr 	
(s)	(kN-m)    	(kN-m)    	(kW)      	(kW)      	
7.100000	26.637902	0.000000	2727.758506	2507.626875	
7.150000	27.453706	0.000000	2817.583988	2513.548121	
7.200000	27.723957	0.000000	2854.012175	2522.588398	
7.250000	27.574996	0.000000	2847.952808	2533.330757	
7.300000	27.427883	0.000000	2840.594871	2543.798424	
7.350000	26.685363	0.000000	2768.156116	2551.888691	
7.400000	24.819688	0.000000	2575.220503	2556.422458	
7.450000	23.914845	0.000000	2479.823909	2558.364925	
7.500000	23.567546	0.000000	2442.250145	2559.718362	
7.550000	24.320680	0.000000	2519.623495	2561.650199	
7.600000	24.854558	0.000000	2575.274101	2564.404592	
7.650000	26.347800	0.000000	2732.050725	2568.779918	
7.700000	28.260372	0.000000	2935.247678	2575.857864	
7.750000	28.223379	0.000000	2938.591379	2585.641577	
7.800000	27.936023	0.000000	2916.582242	2596.934523	
7.850000	27.652890	0.000000	2894.605967	2608.767529	
7.900000	27.277611	0.000000	2861.829842	2620.322333	
7.950000	27.098711	0.000000	2847.804398	2630.649118	
8.000000	25.781320	0.000000	2711.707773	2638.898521	
8.050000	25.160856	0.000000	2646.943850	2645.077842	
8.100000	25.127774	0.000000	2643.229661	2650.099884	
8.150000	25.015907	0.000000	2631.360402	2654.837198	
8.200000	24.611346	0.000000	2589.377369	2659.953745	
8.250000	24.666338	0.000000	2597.167678	2666.436986	
8.300000	26.360664	0.000000	2780.033086	2675.380714	
8.350000	27.610402	0.000000	2918.332223	2686.510121	
8.400000	27.676176	0.000000	2931.949603	2698.353382	
8.450000	26.736311	0.000000	2837.418618	2709.263272	
8.500000	26.988440	0.000000	2867.075594	2718.192590	
8.550000	26.593405	0.000000	2825.710872	2724.696245	
8.600000	25.280764	0.000000	2684.693053	2728.477649	
8.650000	24.673350	0.000000	2617.391214	2730.117013	
8.700000	24.725284	0.000000	2620.372482	2731.267425	
8.750000	25.106662	0.000000	2660.291652	2734.063701	
8.800000	26.703475	0.000000	2832.085541	2739.873800	
8.850000	28.025811	0.000000	2977.547784	2748.369981	
8.900000	28.512026	0.000000	3035.772224	2758.601888	
8.950000	28.796860	0.000000	3073.134488	2769.847045	
9.000000	29.223245	0.000000	3125.350407	2781.306245	
9.050000	28.694230	0.000000	3074.073135	2792.002426	
9.100000	26.971461	0.000000	2892.828549	2801.240543	
9.150000	26.129334	0.000000	2804.348880	2809.014312	
9.200000	26.838454	0.000000	2881.539107	2815.763131	
9.250000	26.735626	0.000000	2871.123303	2821.758396	
9.300000	25.881846	0.000000	2780.199839	2827.618888	
9.350000	27.102934	0.000000	2913.566307	2834.713211	
9.400000	28.799586	0.000000	3100.874079	2844.388542	
9.450000	29.111424	0.000000	3141.328506	2856.307081	
9.500000	28.550980	0.000000	3088.081163	2869.279913	
9.550000	29.367371	0.000000	3183.877527	2882.905065	
9.600000	30.424259	0.000000	3306.153733	2897.031282	
9.650000	30.986124	0.000000	3374.067574	2910.754332	
9.700000	28.450369	0.000000	3102.409121	2922.926639	
9.750000	27.627260	0.000000	3015.599145	2933.679037	
9.800000	28.379163	0.000000	3100.797305	2944.398647	
9.850000	29.058657	0.000000	3179.413155	2956.216920	
9.900000	29.234946	0.000000	3204.378225	2969.414447	
9.950000	29.486444	0.000000	3238.511222	2983.714599	
10.000000	29.467031	0.000000	3243.377126	2998.812873	
10.050000	29.700512	0.000000	3276.166889	3014.342257	
10.100000	29.107258	0.000000	3217.477994	3030.042478	
10.150000	28.670906	0.000000	3175.568790	3045.725346	
10.200000	28.718340	0.000000	3186.524312	3061.004087	
10.250000	28.787510	0.000000	3198.436789	3074.871251	
10.300000	28.513345	0.000000	3170.063078	3086.397598	
10.350000	27.543968	0.000000	3062.417850	3095.434190	
10.400000	27.446402	0.000000	3050.626359	3102.620343	
10.450000	28.324684	0.000000	3147.379781	3109.162008	
10.500000	28.650589	0.000000	3183.752032	3116.131223	
10.550000	28.753818	0.000000	3197.209450	3124.580709	
10.600000	29.214914	0.000000	3253.177957	3135.698369	
10.650000	30.554363	0.000000	3409.986936	3149.841649	
10.700000	31.396210	0.000000	3512.948599	3165.721825	
10.750000	31.169761	0.000000	3495.314012	3181.075174	
10.800000	30.139417	0.000000	3384.445119	3194.029387	
10.850000	29.447719	0.000000	3308.415576	3203.924779	
10.900000	28.837095	0.000000	3239.202560	3211.020591	
10.950000	27.720044	0.000000	3112.301062	3216.481821	
11.000000	27.679403	0.000000	3107.075875	3222.057568	
11.050000	28.861258	0.000000	3241.031940	3229.235665	
11.100000	30.977776	0.000000	3482.461278	3238.603587	
11.150000	31.210749	0.000000	3514.466467	3250.154415	
11.200000	31.022388	0.000000	3500.980206	3264.082980	
11.250000	32.450913	0.000000	3672.439913	3280.784592	
11.300000	32.840981	0.000000	3727.876646	3299.288162	
11.350000	32.498397	0.000000	3698.836018	3317.440888	
11.400000	32.768882	0.000000	3736.712587	3333.516513	
11.450000	31.361764	0.000000	3579.964353	3346.702665	
11.500000	29.875438	0.000000	3411.530252	3357.209630	
11.550000	28.857080	0.000000	3296.018216	3366.739888	
11.600000	30.078782	0.000000	3438.144397	3377.664601	
11.650000	31.416167	0.000000	3596.730895	3391.511473	
11.700000	32.631587	0.000000	3744.331278	3408.114834	
11.750000	33.401156	0.000000	3842.471614	3426.448483	
11.800000	33.917040	0.000000	3912.094433	3445.750420	
11.850000	33.079728	0.000000	3825.394697	3465.603871	
11.900000	32.047607	0.000000	3714.592166	3485.036326	
