HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	HSSBrTqC  	YawMomCom 	
(s)	(kN-m)    	(kN-m)    	
20.450000	0.000000	-2468609.562612	
20.500000	0.000000	-2848745.860913	
20.550000	0.000000	-2637532.981121	
20.600000	0.000000	-2288090.712837	
20.650000	0.000000	-2184102.682109	
20.700000	0.000000	-1766885.936986	
20.750000	0.000000	-1390196.593530	
20.800000	0.000000	-1516201.335085	
20.850000	0.000000	-1848054.263437	
20.900000	0.000000	-1995848.162261	
20.950000	0.000000	-1955555.727710	
21.000000	0.000000	-1725470.605562	
21.050000	0.000000	-1119111.314362	
21.100000	0.000000	-936088.250583	
21.150000	0.000000	-483795.175809	
21.200000	0.000000	-231665.475829	
21.250000	0.000000	-823097.168122	
21.300000	0.000000	-1504406.124037	
21.350000	0.000000	-1732694.055127	
21.400000	0.000000	-2083181.000678	
21.450000	0.000000	-2101557.127062	
21.500000	0.000000	-1836428.089665	
21.550000	0.000000	-2014436.766457	
21.600000	0.000000	-1972985.586238	
21.650000	0.000000	-1879028.703282	
21.700000	0.000000	-1948974.513879	
21.750000	0.000000	-2094050.678962	
21.800000	0.000000	-2477784.566050	
21.850000	0.000000	-2651981.156883	
21.900000	0.000000	-2661809.424400	
21.950000	0.000000	-2680499.123315	
22.000000	0.000000	-2847524.853721	
22.050000	0.000000	-2706433.869909	
22.100000	0.000000	-2268479.204103	
22.150000	0.000000	-2342435.898326	
22.200000	0.000000	-1954828.367644	
22.250000	0.000000	-1700840.988806	
22.300000	0.000000	-1602179.584766	
22.350000	0.000000	-1392038.288327	
22.400000	0.000000	-1036761.000186	
22.450000	0.000000	-825777.126956	
22.500000	0.000000	-566481.999304	
22.550000	0.000000	-354089.761812	
22.600000	0.000000	-7451.588303	
22.650000	0.000000	259044.220227	
22.700000	0.000000	250240.624038	
22.750000	0.000000	345178.986734	
22.800000	0.000000	-148420.349583	
22.850000	0.000000	-514948.456073	
22.900000	0.000000	-1161220.038934	
22.950000	0.000000	-1712133.563399	
23.000000	0.000000	-2064972.260055	
23.050000	0.000000	-2200061.610728	
23.100000	0.000000	-2046312.238970	
23.150000	0.000000	-1619004.631805	
23.200000	0.000000	-1571061.627248	
23.250000	0.000000	-1353760.497441	
23.300000	0.000000	-1170965.362719	
23.350000	0.000000	-1638485.122873	
23.400000	0.000000	-1908717.277160	
23.450000	0.000000	-2322998.927845	
23.500000	0.000000	-2689966.823713	
23.550000	0.000000	-2585073.011957	
23.600000	0.000000	-2495646.158830	
23.650000	0.000000	-2464312.263684	
23.700000	0.000000	-2095658.801892	
23.750000	0.000000	-1930926.734586	
23.800000	0.000000	-1505725.689820	
23.850000	0.000000	-1325947.443581	
23.900000	0.000000	-1241504.934148	
23.950000	0.000000	-1012411.169655	
24.000000	0.000000	-835835.039247	
24.050000	0.000000	-759880.209861	
24.100000	0.000000	-541452.064229	
24.150000	0.000000	-384001.707590	
24.200000	0.000000	-333536.573991	
24.250000	0.000000	63543.701718	
24.300000	0.000000	42297.252065	
24.350000	0.000000	-778890.310454	
24.400000	0.000000	-1479536.816441	
24.450000	0.000000	-2097794.011298	
24.500000	0.000000	-2756216.300123	
24.550000	0.000000	-2752198.420747	
24.600000	0.000000	-2860514.231125	
24.650000	0.000000	-2496894.654907	
24.700000	0.000000	-2315273.996286	
24.750000	0.000000	-2031945.778797	
24.800000	0.000000	-1520123.368986	
24.850000	0.000000	-1682307.291982	
24.900000	0.000000	-1920801.157331	
24.950000	0.000000	-1979446.809408	
25.000000	0.000000	-2347173.928720	
25.050000	0.000000	-2376030.752000	
25.100000	0.000000	-2198445.348825	
25.150000	0.000000	-2361751.731014	
25.200000	0.000000	-2629422.344565	
25.250000	0.000000	-2522130.823390	
25.300000	0.000000	-2357321.720539	
25.350000	0.000000	-2125283.205149	
25.400000	0.000000	-1841185.996966	
25.450000	0.000000	-1470702.390699	
25.500000	0.000000	-752790.384974	
25.550000	0.000000	-235065.233947	
25.600000	0.000000	491025.162384	
25.650000	0.000000	269509.259233	
25.700000	0.000000	-184163.862849	
25.750000	0.000000	-224872.868314	
25.800000	0.000000	-921816.065328	
25.850000	0.000000	-1712956.163623	
25.900000	0.000000	-1879871.731691	
25.950000	0.000000	-2306184.924762	
26.000000	0.000000	-2357927.705556	
26.050000	0.000000	-2124857.836941	
26.100000	0.000000	-2007573.072187	
26.150000	0.000000	-1995516.236930	
26.200000	0.000000	-1599373.222998	
26.250000	0.000000	-1387035.907399	
26.300000	0.000000	-1160264.448316	
26.350000	0.000000	-1280091.788157	
26.400000	0.000000	-1613403.475523	
26.450000	0.000000	-1826318.493494	
26.500000	0.000000	-2168605.850545	
26.550000	0.000000	-2308858.053337	
26.600000	0.000000	-2280946.640412	
26.650000	0.000000	-2268352.902441	
26.700000	0.000000	-2071671.536629	
26.750000	0.000000	-1592971.990436	
26.800000	0.000000	-1310279.310710	
26.850000	0.000000	-968585.409236	
26.900000	0.000000	-727763.519807	
26.950000	0.000000	-269001.921044	
27.000000	0.000000	-61562.197363	
27.050000	0.000000	42741.515274	
27.100000	0.000000	192553.735532	
27.150000	0.000000	5007.699901	
27.200000	0.000000	-373787.356751	
27.250000	0.000000	-516481.866525	
27.300000	0.000000	-906498.023079	
27.350000	0.000000	-1563068.147523	
27.400000	0.000000	-1905093.712221	
27.450000	0.000000	-2644249.187438	
27.500000	0.000000	-2677518.234730	
27.550000	0.000000	-2334975.793939	
27.600000	0.000000	-1905399.047962	
27.650000	0.000000	-1671785.860263	
27.700000	0.000000	-1364711.810891	
27.750000	0.000000	-1236299.175173	
27.800000	0.000000	-1334921.255802	
27.850000	0.000000	-889397.067070	
27.900000	0.000000	-888680.710939	
27.950000	0.000000	-900918.430777	
28.000000	0.000000	-1108999.006987	
28.050000	0.000000	-1492114.033971	
28.100000	0.000000	-1878156.668712	
28.150000	0.000000	-1974156.995940	
28.200000	0.000000	-1655104.064793	
28.250000	0.000000	-1397556.239275	
28.300000	0.000000	-912332.564553	
28.350000	0.000000	-112713.270881	
28.400000	0.000000	494298.224591	
28.450000	0.000000	613765.395206	
28.500000	0.000000	673217.339345	
28.550000	0.000000	880520.933910	
28.600000	0.000000	932561.360690	
28.650000	0.000000	461302.797096	
28.700000	0.000000	308510.691977	
28.750000	0.000000	39869.084708	
28.800000	0.000000	-292896.900435	
28.850000	0.000000	-385103.731521	
28.900000	0.000000	-749505.466172	
28.950000	0.000000	-1282646.922688	
29.000000	0.000000	-1619632.781699	
29.050000	0.000000	-1808968.730493	
29.100000	0.000000	-1931840.137750	
29.150000	0.000000	-1818443.101051	
29.200000	0.000000	-1760765.412607	
29.250000	0.000000	-1771170.697134	
29.300000	0.000000	-1669603.877358	
29.350000	0.000000	-1349476.958148	
29.400000	0.000000	-1096694.450645	
29.450000	0.000000	-818476.608413	
29.500000	0.000000	-848663.650700	
29.550000	0.000000	-962159.396916	
29.600000	0.000000	-814685.269025	
29.650000	0.000000	-1045861.976743	
29.700000	0.000000	-1335870.483619	
29.750000	0.000000	-939375.989620	
29.800000	0.000000	-216796.062984	
29.850000	0.000000	-45891.794552	
29.900000	0.000000	309801.519024	
29.950000	0.000000	641583.016284	
30.000000	0.000000	764144.723124	
30.050000	0.000000	1064242.933590	
30.100000	0.000000	1110005.763095	
30.150000	0.000000	847403.739926	
30.200000	0.000000	788897.821670	
30.250000	0.000000	541529.505470	
30.300000	0.000000	502133.783331	
30.350000	0.000000	-150809.864917	
30.400000	0.000000	-795187.453859	
30.450000	0.000000	-890624.959485	
30.500000	0.000000	-994967.138422	
30.550000	0.000000	-1195064.624995	
30.600000	0.000000	-770836.655716	
30.650000	0.000000	-590899.285682	
30.700000	0.000000	-245770.211002	
30.750000	0.000000	-466851.258760	
30.800000	0.000000	-612471.828275	
30.850000	0.000000	-931426.823600	
30.900000	0.000000	-1400196.765843	
30.950000	0.000000	-1165338.150968	
31.000000	0.000000	-1258274.341325	
31.050000	0.000000	-851662.816174	
31.100000	0.000000	-439626.135109	
31.150000	0.000000	-511369.071118	
31.200000	0.000000	-462039.112580	
31.250000	0.000000	-314060.441776	
31.300000	0.000000	-471911.891686	
31.350000	0.000000	-625585.903227	
31.400000	0.000000	-377276.066671	
31.450000	0.000000	-68902.067292	
31.500000	0.000000	803200.539121	
31.550000	0.000000	1204606.862776	
31.600000	0.000000	1474405.320828	
31.650000	0.000000	1418168.326357	
31.700000	0.000000	888624.250710	
31.750000	0.000000	176919.895256	
31.800000	0.000000	-112836.425790	
31.850000	0.000000	-574884.373445	
31.900000	0.000000	-845615.463185	
31.950000	0.000000	-739436.945244	
32.000000	0.000000	-628696.741697	
32.050000	0.000000	-657725.278362	
32.100000	0.000000	-114530.829871	
32.150000	0.000000	-53118.004905	
32.200000	0.000000	-84778.723008	
32.250000	0.000000	-268425.825500	
32.300000	0.000000	-338856.482621	
32.350000	0.000000	-884982.086642	
32.400000	0.000000	-1581821.026571	
32.450000	0.000000	-1618241.245816	
32.500000	0.000000	-1366728.157137	
32.550000	0.000000	-898019.966233	
32.600000	0.000000	-804077.156598	
32.650000	0.000000	-579525.696086	
32.700000	0.000000	-147586.048125	
32.750000	0.000000	242917.970479	
32.800000	0.000000	662567.578556	
32.850000	0.000000	617310.750865	
32.900000	0.000000	726296.138074	
32.950000	0.000000	856669.410975	
33.000000	0.000000	1157716.297226	
33.050000	0.000000	1097243.430721	
33.100000	0.000000	835444.502820	
33.150000	0.000000	399424.908489	
33.200000	0.000000	-39063.681951	
33.250000	0.000000	39646.773563	
33.300000	0.000000	-137308.922769	
33.350000	0.000000	-512595.205650	
33.400000	0.000000	-181164.149965	
33.450000	0.000000	17341.552236	
33.500000	0.000000	-60431.763396	
33.550000	0.000000	28184.646263	
33.600000	0.000000	-80504.572310	
33.650000	0.000000	-47325.125105	
33.700000	0.000000	-376753.063476	
33.750000	0.000000	-858726.532325	
33.800000	0.000000	-1355130.437487	
33.850000	0.000000	-1550088.833181	
33.900000	0.000000	-1444647.960107	
33.950000	0.000000	-988581.941548	
34.000000	0.000000	-670483.032726	
34.050000	0.000000	-562124.665490	
34.100000	0.000000	-371937.495889	
34.150000	0.000000	-199454.962841	
34.200000	0.000000	236350.720779	
34.250000	0.000000	811073.954767	
34.300000	0.000000	1115873.039406	
34.350000	0.000000	1223741.251316	
34.400000	0.000000	1331223.246344	
34.450000	0.000000	1428521.710774	
34.500000	0.000000	1608691.860512	
34.550000	0.000000	1160333.751405	
34.600000	0.000000	786099.525344	
34.650000	0.000000	698963.062526	
34.700000	0.000000	606087.995346	
34.750000	0.000000	-98521.498567	
34.800000	0.000000	-237449.573112	
34.850000	0.000000	-116053.539947	
34.900000	0.000000	-501087.471668	
34.950000	0.000000	-295172.199743	
35.000000	0.000000	-15713.096143	
35.050000	0.000000	194902.414313	
35.100000	0.000000	136171.844988	
35.150000	0.000000	-119638.275529	
35.200000	0.000000	-236069.020665	
35.250000	0.000000	-723116.550177	
35.300000	0.000000	-1221276.318526	
35.350000	0.000000	-1541522.471888	
35.400000	0.000000	-1807397.375067	
35.450000	0.000000	-1456330.840542	
35.500000	0.000000	-1267041.555327	
35.550000	0.000000	-1195679.117608	
35.600000	0.000000	-767242.010095	
35.650000	0.000000	-223156.726979	
35.700000	0.000000	73747.083382	
35.750000	0.000000	548250.580814	
35.800000	0.000000	1062365.438603	
35.850000	0.000000	1076365.785224	
35.900000	0.000000	1277809.343440	
35.950000	0.000000	1539632.996288	
36.000000	0.000000	1558825.564145	
36.050000	0.000000	1324915.707279	
36.100000	0.000000	1042448.223000	
36.150000	0.000000	782694.592410	
36.200000	0.000000	334162.155171	
36.250000	0.000000	-101614.871230	
36.300000	0.000000	-51144.308757	
36.350000	0.000000	-258978.481628	
36.400000	0.000000	-465239.698719	
36.450000	0.000000	-433408.702578	
36.500000	0.000000	-814724.578979	
36.550000	0.000000	-980306.786491	
36.600000	0.000000	-1143266.976738	
36.650000	0.000000	-1353804.317255	
36.700000	0.000000	-1816724.341366	
36.750000	0.000000	-1858392.685301	
36.800000	0.000000	-1999580.252674	
36.850000	0.000000	-2431129.424133	
36.900000	0.000000	-2587123.399721	
36.950000	0.000000	-2274292.230426	
