HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
11.950000	0.390652	-0.039713	-0.001293	
12.000000	0.390466	-0.033395	-0.001295	
12.050000	0.389826	-0.027043	-0.001291	
12.100000	0.388804	-0.020827	-0.001276	
12.150000	0.387460	-0.014935	-0.001270	
12.200000	0.385935	-0.009539	-0.001261	
12.250000	0.384476	-0.004780	-0.001255	
12.300000	0.383361	-0.000783	-0.001254	
12.350000	0.382815	0.002313	-0.001250	
12.400000	0.382945	0.004365	-0.001247	
12.450000	0.383744	0.005286	-0.001244	
12.500000	0.385150	0.005080	-0.001253	
12.550000	0.387115	0.003820	-0.001261	
12.600000	0.389602	0.001613	-0.001284	
12.650000	0.392578	-0.001437	-0.001310	
12.700000	0.396005	-0.005219	-0.001334	
12.750000	0.399829	-0.009622	-0.001366	
12.800000	0.403923	-0.014535	-0.001379	
12.850000	0.408130	-0.019867	-0.001407	
12.900000	0.412379	-0.025565	-0.001441	
12.950000	0.416742	-0.031590	-0.001482	
13.000000	0.421345	-0.037873	-0.001520	
13.050000	0.426209	-0.044276	-0.001563	
13.100000	0.431228	-0.050636	-0.001603	
13.150000	0.436217	-0.056805	-0.001632	
13.200000	0.441044	-0.062663	-0.001679	
13.250000	0.445696	-0.068071	-0.001728	
13.300000	0.450187	-0.072845	-0.001766	
13.350000	0.454485	-0.076808	-0.001811	
13.400000	0.458502	-0.079860	-0.001833	
13.450000	0.462197	-0.081973	-0.001875	
13.500000	0.465625	-0.083134	-0.001902	
13.550000	0.468889	-0.083294	-0.001929	
13.600000	0.472006	-0.082392	-0.001948	
13.650000	0.474904	-0.080437	-0.001966	
13.700000	0.477470	-0.077533	-0.001984	
13.750000	0.479609	-0.073820	-0.001995	
13.800000	0.481246	-0.069403	-0.002006	
13.850000	0.482251	-0.064357	-0.002007	
13.900000	0.482469	-0.058777	-0.002004	
13.950000	0.481885	-0.052788	-0.001984	
14.000000	0.480732	-0.046534	-0.001980	
14.050000	0.479401	-0.040159	-0.001973	
14.100000	0.478152	-0.033787	-0.001946	
14.150000	0.477011	-0.027534	-0.001942	
14.200000	0.475895	-0.021550	-0.001913	
14.250000	0.474841	-0.016025	-0.001925	
14.300000	0.474024	-0.011162	-0.001913	
14.350000	0.473614	-0.007135	-0.001907	
14.400000	0.473571	-0.004053	-0.001900	
14.450000	0.473702	-0.001986	-0.001895	
14.500000	0.473862	-0.001021	-0.001903	
14.550000	0.474131	-0.001236	-0.001903	
14.600000	0.474739	-0.002648	-0.001916	
14.650000	0.475954	-0.005192	-0.001932	
14.700000	0.477962	-0.008748	-0.001940	
14.750000	0.480856	-0.013184	-0.001978	
14.800000	0.484685	-0.018373	-0.002008	
14.850000	0.489434	-0.024183	-0.002048	
14.900000	0.494942	-0.030464	-0.002081	
14.950000	0.501001	-0.037032	-0.002130	
15.000000	0.507416	-0.043711	-0.002190	
15.050000	0.514077	-0.050374	-0.002274	
15.100000	0.520870	-0.056949	-0.002339	
15.150000	0.527671	-0.063405	-0.002398	
15.200000	0.534317	-0.069677	-0.002476	
15.250000	0.540672	-0.075638	-0.002527	
15.300000	0.546660	-0.081130	-0.002598	
15.350000	0.552189	-0.086029	-0.002654	
15.400000	0.557126	-0.090238	-0.002695	
15.450000	0.561293	-0.093644	-0.002742	
15.500000	0.564564	-0.096087	-0.002793	
15.550000	0.566939	-0.097412	-0.002821	
15.600000	0.568514	-0.097535	-0.002841	
15.650000	0.569419	-0.096457	-0.002848	
15.700000	0.569746	-0.094233	-0.002856	
15.750000	0.569509	-0.090920	-0.002834	
15.800000	0.568736	-0.086571	-0.002824	
15.850000	0.567555	-0.081309	-0.002807	
15.900000	0.566181	-0.075347	-0.002787	
15.950000	0.564824	-0.068917	-0.002764	
16.000000	0.563579	-0.062196	-0.002733	
16.050000	0.562363	-0.055304	-0.002712	
16.100000	0.560978	-0.048340	-0.002689	
16.150000	0.559227	-0.041442	-0.002665	
16.200000	0.557088	-0.034773	-0.002640	
16.250000	0.554761	-0.028485	-0.002630	
16.300000	0.552591	-0.022694	-0.002604	
16.350000	0.550928	-0.017500	-0.002596	
16.400000	0.550017	-0.013009	-0.002593	
16.450000	0.549951	-0.009339	-0.002575	
16.500000	0.550658	-0.006578	-0.002579	
16.550000	0.551963	-0.004786	-0.002584	
16.600000	0.553693	-0.003996	-0.002586	
16.650000	0.555740	-0.004219	-0.002621	
16.700000	0.558094	-0.005465	-0.002628	
16.750000	0.560815	-0.007750	-0.002683	
16.800000	0.563960	-0.011067	-0.002704	
16.850000	0.567549	-0.015360	-0.002741	
16.900000	0.571528	-0.020525	-0.002785	
16.950000	0.575713	-0.026420	-0.002814	
17.000000	0.579814	-0.032880	-0.002847	
17.050000	0.583548	-0.039716	-0.002896	
17.100000	0.586773	-0.046712	-0.002927	
17.150000	0.589562	-0.053657	-0.002979	
17.200000	0.592075	-0.060402	-0.003020	
17.250000	0.594449	-0.066832	-0.003057	
17.300000	0.596698	-0.072840	-0.003066	
17.350000	0.598758	-0.078325	-0.003103	
17.400000	0.600628	-0.083184	-0.003129	
17.450000	0.602419	-0.087364	-0.003164	
17.500000	0.604284	-0.090854	-0.003194	
17.550000	0.606277	-0.093641	-0.003207	
17.600000	0.608286	-0.095657	-0.003225	
17.650000	0.610124	-0.096777	-0.003256	
17.700000	0.611575	-0.096890	-0.003267	
17.750000	0.612467	-0.095950	-0.003280	
17.800000	0.612670	-0.093965	-0.003275	
17.850000	0.612105	-0.090962	-0.003261	
17.900000	0.610855	-0.086974	-0.003253	
17.950000	0.609185	-0.082087	-0.003231	
18.000000	0.607434	-0.076445	-0.003208	
18.050000	0.605863	-0.070218	-0.003187	
18.100000	0.604521	-0.063574	-0.003144	
18.150000	0.603353	-0.056667	-0.003131	
18.200000	0.602345	-0.049665	-0.003110	
18.250000	0.601602	-0.042741	-0.003105	
18.300000	0.601145	-0.036052	-0.003080	
18.350000	0.600826	-0.029725	-0.003083	
18.400000	0.600388	-0.023882	-0.003048	
18.450000	0.599648	-0.018655	-0.003051	
18.500000	0.598549	-0.014180	-0.003043	
18.550000	0.597090	-0.010566	-0.003018	
18.600000	0.595241	-0.007882	-0.002993	
18.650000	0.592987	-0.006176	-0.002971	
18.700000	0.590417	-0.005480	-0.002948	
18.750000	0.587686	-0.005798	-0.002934	
18.800000	0.584966	-0.007135	-0.002907	
18.850000	0.582442	-0.009474	-0.002889	
18.900000	0.580334	-0.012791	-0.002874	
18.950000	0.578844	-0.017048	-0.002850	
19.000000	0.578091	-0.022189	-0.002840	
19.050000	0.578118	-0.028127	-0.002847	
19.100000	0.578921	-0.034721	-0.002855	
19.150000	0.580485	-0.041784	-0.002877	
19.200000	0.582835	-0.049115	-0.002917	
19.250000	0.585935	-0.056545	-0.002958	
19.300000	0.589596	-0.063917	-0.002997	
19.350000	0.593485	-0.071041	-0.003032	
19.400000	0.597290	-0.077692	-0.003085	
19.450000	0.600899	-0.083658	-0.003134	
19.500000	0.604449	-0.088809	-0.003193	
19.550000	0.608159	-0.093106	-0.003247	
19.600000	0.612139	-0.096547	-0.003283	
19.650000	0.616324	-0.099100	-0.003340	
19.700000	0.620553	-0.100730	-0.003386	
19.750000	0.624750	-0.101440	-0.003424	
19.800000	0.628874	-0.101251	-0.003459	
19.850000	0.632741	-0.100159	-0.003492	
19.900000	0.636015	-0.098128	-0.003509	
19.950000	0.638367	-0.095105	-0.003555	
20.000000	0.639689	-0.091094	-0.003544	
20.050000	0.640122	-0.086165	-0.003550	
20.100000	0.639820	-0.080427	-0.003536	
20.150000	0.638810	-0.074017	-0.003521	
20.200000	0.637012	-0.067094	-0.003483	
20.250000	0.634425	-0.059837	-0.003452	
20.300000	0.631185	-0.052433	-0.003424	
20.350000	0.627449	-0.045087	-0.003367	
20.400000	0.623264	-0.038018	-0.003313	
20.450000	0.618623	-0.031427	-0.003259	
20.500000	0.613597	-0.025492	-0.003210	
20.550000	0.608349	-0.020363	-0.003159	
20.600000	0.603099	-0.016161	-0.003096	
20.650000	0.598054	-0.012980	-0.003045	
20.700000	0.593387	-0.010884	-0.002991	
20.750000	0.589209	-0.009872	-0.002948	
20.800000	0.585543	-0.009896	-0.002906	
20.850000	0.582298	-0.010913	-0.002886	
20.900000	0.579275	-0.012901	-0.002853	
20.950000	0.576302	-0.015841	-0.002824	
21.000000	0.573410	-0.019707	-0.002802	
21.050000	0.570910	-0.024446	-0.002783	
21.100000	0.569228	-0.029973	-0.002779	
21.150000	0.568657	-0.036193	-0.002781	
21.200000	0.569265	-0.042991	-0.002791	
21.250000	0.570941	-0.050220	-0.002800	
21.300000	0.573562	-0.057728	-0.002844	
21.350000	0.577053	-0.065368	-0.002879	
21.400000	0.581271	-0.072969	-0.002935	
21.450000	0.585918	-0.080315	-0.002978	
21.500000	0.590635	-0.087155	-0.003021	
21.550000	0.595186	-0.093243	-0.003090	
21.600000	0.599534	-0.098423	-0.003146	
21.650000	0.603778	-0.102612	-0.003192	
21.700000	0.607998	-0.105745	-0.003248	
21.750000	0.612072	-0.107750	-0.003285	
21.800000	0.615849	-0.108572	-0.003332	
21.850000	0.619288	-0.108221	-0.003371	
21.900000	0.622373	-0.106791	-0.003403	
21.950000	0.624997	-0.104391	-0.003442	
22.000000	0.626999	-0.101082	-0.003447	
22.050000	0.628268	-0.096921	-0.003448	
22.100000	0.628791	-0.091988	-0.003445	
22.150000	0.628659	-0.086404	-0.003433	
22.200000	0.628071	-0.080307	-0.003429	
22.250000	0.627236	-0.073800	-0.003404	
22.300000	0.626214	-0.066967	-0.003372	
22.350000	0.624962	-0.059919	-0.003361	
22.400000	0.623324	-0.052804	-0.003343	
22.450000	0.621030	-0.045789	-0.003308	
22.500000	0.617849	-0.039050	-0.003268	
22.550000	0.613754	-0.032774	-0.003217	
22.600000	0.608897	-0.027165	-0.003171	
22.650000	0.603566	-0.022434	-0.003126	
22.700000	0.598099	-0.018757	-0.003075	
22.750000	0.592737	-0.016252	-0.003015	
22.800000	0.587576	-0.014965	-0.002963	
22.850000	0.582661	-0.014911	-0.002913	
22.900000	0.578089	-0.016069	-0.002868	
22.950000	0.573952	-0.018384	-0.002809	
23.000000	0.570262	-0.021768	-0.002774	
23.050000	0.566948	-0.026105	-0.002734	
23.100000	0.563915	-0.031258	-0.002705	
23.150000	0.561214	-0.037088	-0.002689	
23.200000	0.559155	-0.043472	-0.002685	
23.250000	0.558182	-0.050289	-0.002706	
23.300000	0.558532	-0.057417	-0.002701	
23.350000	0.560156	-0.064713	-0.002716	
23.400000	0.562794	-0.072027	-0.002750	
23.450000	0.566150	-0.079199	-0.002782	
23.500000	0.570055	-0.086090	-0.002836	
23.550000	0.574357	-0.092555	-0.002894	
23.600000	0.578837	-0.098412	-0.002942	
23.650000	0.583236	-0.103468	-0.002974	
23.700000	0.587431	-0.107574	-0.003039	
23.750000	0.591527	-0.110647	-0.003086	
23.800000	0.595706	-0.112642	-0.003146	
23.850000	0.600024	-0.113505	-0.003189	
23.900000	0.604300	-0.113175	-0.003239	
23.950000	0.608137	-0.111627	-0.003261	
24.000000	0.611077	-0.108918	-0.003282	
24.050000	0.612749	-0.105165	-0.003308	
24.100000	0.613004	-0.100513	-0.003307	
24.150000	0.611879	-0.095109	-0.003289	
24.200000	0.609447	-0.089111	-0.003249	
24.250000	0.605855	-0.082692	-0.003212	
24.300000	0.601280	-0.076018	-0.003153	
24.350000	0.595849	-0.069245	-0.003077	
24.400000	0.589671	-0.062543	-0.003006	
24.450000	0.582935	-0.056064	-0.002938	
24.500000	0.575858	-0.049937	-0.002859	
24.550000	0.568599	-0.044274	-0.002779	
24.600000	0.561206	-0.039146	-0.002691	
24.650000	0.553695	-0.034624	-0.002616	
24.700000	0.546244	-0.030790	-0.002554	
24.750000	0.539284	-0.027741	-0.002490	
24.800000	0.533265	-0.025562	-0.002447	
24.850000	0.528392	-0.024318	-0.002393	
24.900000	0.524627	-0.024066	-0.002357	
24.950000	0.521786	-0.024836	-0.002330	
25.000000	0.519658	-0.026612	-0.002300	
25.050000	0.518090	-0.029352	-0.002287	
25.100000	0.516988	-0.032970	-0.002280	
25.150000	0.516244	-0.037339	-0.002270	
25.200000	0.515750	-0.042346	-0.002280	
25.250000	0.515593	-0.047899	-0.002277	
25.300000	0.516043	-0.053893	-0.002301	
25.350000	0.517334	-0.060196	-0.002320	
25.400000	0.519549	-0.066642	-0.002357	
25.450000	0.522478	-0.073049	-0.002370	
25.500000	0.525666	-0.079244	-0.002415	
25.550000	0.528629	-0.085073	-0.002440	
25.600000	0.531101	-0.090413	-0.002484	
25.650000	0.533000	-0.095170	-0.002510	
25.700000	0.534305	-0.099294	-0.002536	
25.750000	0.535002	-0.102760	-0.002556	
25.800000	0.535090	-0.105506	-0.002562	
25.850000	0.534554	-0.107474	-0.002554	
25.900000	0.533402	-0.108634	-0.002546	
25.950000	0.531690	-0.108979	-0.002532	
26.000000	0.529444	-0.108504	-0.002501	
26.050000	0.526639	-0.107176	-0.002476	
26.100000	0.523279	-0.104967	-0.002435	
26.150000	0.519446	-0.101910	-0.002397	
26.200000	0.515314	-0.098115	-0.002366	
26.250000	0.511120	-0.093709	-0.002315	
26.300000	0.507099	-0.088786	-0.002286	
26.350000	0.503377	-0.083426	-0.002235	
26.400000	0.499913	-0.077758	-0.002204	
26.450000	0.496621	-0.071968	-0.002154	
26.500000	0.493460	-0.066234	-0.002127	
26.550000	0.490402	-0.060694	-0.002092	
26.600000	0.487439	-0.055455	-0.002058	
26.650000	0.484555	-0.050625	-0.002034	
26.700000	0.481744	-0.046324	-0.001994	
26.750000	0.479089	-0.042660	-0.001969	
26.800000	0.476791	-0.039692	-0.001968	
26.850000	0.475044	-0.037447	-0.001940	
26.900000	0.473910	-0.035941	-0.001935	
26.950000	0.473253	-0.035185	-0.001920	
27.000000	0.472802	-0.035166	-0.001916	
27.050000	0.472278	-0.035861	-0.001912	
27.100000	0.471514	-0.037241	-0.001916	
27.150000	0.470454	-0.039302	-0.001912	
27.200000	0.469103	-0.042079	-0.001898	
27.250000	0.467489	-0.045599	-0.001902	
27.300000	0.465704	-0.049825	-0.001891	
27.350000	0.463867	-0.054692	-0.001885	
27.400000	0.462060	-0.060124	-0.001877	
27.450000	0.460303	-0.066033	-0.001859	
27.500000	0.458541	-0.072275	-0.001860	
27.550000	0.456650	-0.078637	-0.001832	
27.600000	0.454525	-0.084871	-0.001826	
27.650000	0.452112	-0.090751	-0.001810	
27.700000	0.449459	-0.096114	-0.001796	
27.750000	0.446729	-0.100836	-0.001801	
27.800000	0.443998	-0.104810	-0.001782	
27.850000	0.441170	-0.107948	-0.001754	
27.900000	0.438115	-0.110189	-0.001738	
27.950000	0.434794	-0.111522	-0.001728	
28.000000	0.431335	-0.111967	-0.001714	
28.050000	0.428023	-0.111580	-0.001685	
28.100000	0.425121	-0.110439	-0.001662	
28.150000	0.422661	-0.108610	-0.001637	
28.200000	0.420501	-0.106132	-0.001606	
28.250000	0.418594	-0.103024	-0.001596	
28.300000	0.416987	-0.099301	-0.001573	
28.350000	0.415700	-0.094990	-0.001558	
28.400000	0.414678	-0.090127	-0.001541	
28.450000	0.413782	-0.084758	-0.001534	
28.500000	0.412854	-0.078971	-0.001519	
28.550000	0.411898	-0.072906	-0.001492	
28.600000	0.411093	-0.066753	-0.001485	
28.650000	0.410635	-0.060727	-0.001486	
28.700000	0.410550	-0.055014	-0.001476	
28.750000	0.410609	-0.049766	-0.001474	
28.800000	0.410530	-0.045126	-0.001468	
28.850000	0.410140	-0.041246	-0.001449	
28.900000	0.409414	-0.038280	-0.001453	
28.950000	0.408461	-0.036340	-0.001455	
29.000000	0.407441	-0.035495	-0.001435	
29.050000	0.406459	-0.035752	-0.001429	
29.100000	0.405484	-0.037062	-0.001425	
29.150000	0.404353	-0.039318	-0.001414	
29.200000	0.402804	-0.042376	-0.001401	
29.250000	0.400632	-0.046078	-0.001387	
29.300000	0.397790	-0.050275	-0.001376	
29.350000	0.394387	-0.054868	-0.001359	
29.400000	0.390666	-0.059788	-0.001351	
29.450000	0.386911	-0.064973	-0.001314	
29.500000	0.383416	-0.070346	-0.001313	
29.550000	0.380323	-0.075828	-0.001295	
